event_id,title,date,latitude,longitude,state,location_description,trigger,size,fatalities,injuries,source
3621,"St Mary's Hill, 3 km from Kurseong, West Bengal",06/17/2011 12:00:00 AM,26.88,88.28,Bengal,"St Mary's Hill, 3 km from Kurseong, West Bengal",downpour,large,4,0,ISRO / NRSC Landslide Inventory & GLC
1993,"Kurseong sub-division, Road between Kurseong and New Jalpaiguri",06/16/2010 12:00:00 AM,26.8073,88.3162,Bengal,"Kurseong sub-division, Road between Kurseong and New Jalpaiguri",downpour,medium,0,0,ISRO / NRSC Landslide Inventory & GLC
7031,"Bop, Sikkim",05/24/2015 12:00:00 AM,27.6163,88.6586,Sikkim,"Bop, Sikkim",unknown,medium,0,0,ISRO / NRSC Landslide Inventory & GLC
2025,"Police CID complex(?), Shillong, Meghalaya",06/28/2010 12:00:00 AM,25.5728,91.885,Meghālaya,"Police CID complex(?), Shillong, Meghalaya",downpour,medium,1,0,ISRO / NRSC Landslide Inventory & GLC
9405,"Techahan Ward, Mon, Nagaland, India",04/19/2016 12:00:00 AM,26.7223,95.0243,Nagaland,"Techahan Ward, Mon, Nagaland, India",continuous_rain,medium,0,0,ISRO / NRSC Landslide Inventory & GLC
5343,The Imphal-Jiribam Section Of Nh-37 In Tamenglong District,08/17/2013 11:00:00 PM,24.7625,93.4341,Assam,The Imphal-Jiribam Section Of Nh-37 In Tamenglong District,continuous_rain,medium,0,0,ISRO / NRSC Landslide Inventory & GLC
6971,"Itanagar, Arunachal Pradesh",06-09-2015 00:00,27.0987,93.816,Arunachal Pradesh,"Itanagar, Arunachal Pradesh",continuous_rain,medium,2,2,ISRO / NRSC Landslide Inventory & GLC
57,"Sikkim, 13 km north of Gangtok",04-11-2007 00:00,27.4459,88.6193,NER,"Sikkim, 13 km north of Gangtok",downpour,medium,0,0,ISRO / NRSC Landslide Inventory & GLC
1611,"Paglanala village, Dholai Block, near Dwarbandh locality of the district, Cachar district (could only find district) 45 km from Silchar, Assam",04-01-2010 00:00,25.1553,93.028,Assam,"Paglanala village, Dholai Block, near Dwarbandh locality of the district, Cachar district (could only find district) 45 km from Silchar, Assam",downpour,medium,3,0,ISRO / NRSC Landslide Inventory & GLC
147,Lawngtlai,07/30/2007 12:00:00 AM,22.533,92.899,Mizoram,Lawngtlai,downpour,medium,0,0,ISRO / NRSC Landslide Inventory & GLC
4382," between Harangajao and Mailongdisa, Assa,",06-03-2012 00:00,25.1175,92.8573,Assam," between Harangajao and Mailongdisa, Assa,",downpour,medium,0,0,ISRO / NRSC Landslide Inventory & GLC
1112,"NH31A, Mile 27 near Rambi",08/20/2009 12:00:00 AM,27.1761,88.5287,Sikkim,"NH31A, Mile 27 near Rambi",downpour,medium,0,0,ISRO / NRSC Landslide Inventory & GLC
2424,"near Tuivawl(?), Aizawl-Champhai rd, Aizawl district, Mizoram",09/13/2010 12:00:00 AM,23.591,92.9296,Mizoram,"near Tuivawl(?), Aizawl-Champhai rd, Aizawl district, Mizoram",downpour,medium,0,0,ISRO / NRSC Landslide Inventory & GLC
78,"Pangthang, on road b/t Gangtok and North Sikkim",05/23/2007 12:00:00 AM,27.3383,88.6069,Sikkim,"Pangthang, on road b/t Gangtok and North Sikkim",rain,medium,0,0,ISRO / NRSC Landslide Inventory & GLC
5431,"Tamenglong, Manipur",09-01-2013 00:00,24.9829,93.5063,Assam,"Tamenglong, Manipur",continuous_rain,medium,0,0,ISRO / NRSC Landslide Inventory & GLC
3672,"Portions of NH 39, Connectin Manipur with Assam via Nagaland",06/29/2011 12:00:00 AM,25.5125,93.3613,Assam,"Portions of NH 39, Connectin Manipur with Assam via Nagaland",downpour,medium,0,0,ISRO / NRSC Landslide Inventory & GLC
3997,Mangan : The slide which occurred at Thingchim around 18 kilometers from Mangan towards Gangtok has disrupted the Mangan-Gangtok traffic again. The s*,09/30/2011 12:00:00 AM,27.5161,88.5575,NER,,unknown,medium,0,0,ISRO / NRSC Landslide Inventory & GLC
2253,"Chingai-Kuingai(Quingai) route (16 kms), Chingai subdivision, Ukhrul district, Manipur",08/15/2010 11:00:00 PM,25.31006064,94.48265093,Manipur,"Chingai-Kuingai(Quingai) route (16 kms), Chingai subdivision, Ukhrul district, Manipur",downpour,medium,0,0,ISRO / NRSC Landslide Inventory & GLC
1108,"Tamei, Tamenglong district on Imphal-Tamenglong (IT) road",08/20/2009 12:00:00 AM,24.9925,93.5,Assam,"Tamei, Tamenglong district on Imphal-Tamenglong (IT) road",downpour,medium,0,0,ISRO / NRSC Landslide Inventory & GLC
6105,Arunachal Pradesh,06/26/2014 11:00:00 PM,28.9205,95.3429,Arunachal Pradesh,Arunachal Pradesh,continuous_rain,medium,0,0,ISRO / NRSC Landslide Inventory & GLC
9168,"NH 13 10 kilometers from Old Ziro, Arunachal Pradesh, India",06-12-2016 23:00,27.6438,93.871,Arunachal Pradesh,"NH 13 10 kilometers from Old Ziro, Arunachal Pradesh, India",downpour,medium,0,0,ISRO / NRSC Landslide Inventory & GLC
7021,"Old Monastery Road, Ghum",06/27/2015 11:00:00 PM,27.0076,88.251,West Bengal,"Old Monastery Road, Ghum",downpour,medium,1,0,ISRO / NRSC Landslide Inventory & GLC
3560,"Gaoilung(Gadailong) village(?), Ward 4(?), Tamenglong, Manipur",05/31/2011 02:30:00 PM,24.8286,93.5935,Manipur,"Gaoilung(Gadailong) village(?), Ward 4(?), Tamenglong, Manipur",downpour,medium,2,0,ISRO / NRSC Landslide Inventory & GLC
587,"Lakhimpur district, Bihpuria, Assam",06/15/2008 12:00:00 AM,27.2298,94.0989,Assam,"Lakhimpur district, Bihpuria, Assam",downpour,medium,17,0,ISRO / NRSC Landslide Inventory & GLC
8012,"Umling, Meghalaya 793102, India",09-06-2015 15:00,25.9703,91.8584,Meghalaya,"Umling, Meghalaya 793102, India",unknown,medium,0,0,ISRO / NRSC Landslide Inventory & GLC
7335,Tura Civil Hospital,08/18/2015 09:00:00 AM,25.5145,90.2023,Meghalaya,Tura Civil Hospital,continuous_rain,medium,0,0,ISRO / NRSC Landslide Inventory & GLC
141,Singtam,07/26/2007 12:00:00 AM,25.38,91.88,Meghālaya,Singtam,rain,medium,0,0,ISRO / NRSC Landslide Inventory & GLC
3983,"Maighuli, Guwahati, Meghalaya",09/23/2011 12:00:00 AM,26.1548,91.7351,Assam,"Maighuli, Guwahati, Meghalaya",downpour,large,4,0,ISRO / NRSC Landslide Inventory & GLC
148,Saiha,07/30/2007 12:00:00 AM,22.479,92.967,Mizoram,Saiha,downpour,medium,0,0,ISRO / NRSC Landslide Inventory & GLC
1094,"Katare village, 80 km from Kalimpong",08/16/2009 09:30:00 PM,27.15977181,88.63411246,Bengal,"Katare village, 80 km from Kalimpong",downpour,medium,1,0,ISRO / NRSC Landslide Inventory & GLC
1775,Arunachal Pradesh ,04/21/2010 12:00:00 AM,27.8965,96.1779,Arunāchal Pradesh,Arunachal Pradesh ,downpour,medium,12,0,ISRO / NRSC Landslide Inventory & GLC
3663,"Ruzapfu valley, Kikruma Village, Phek District, Nagaland",06/28/2011 12:00:00 AM,25.6682,94.1099,Nāgāland,"Ruzapfu valley, Kikruma Village, Phek District, Nagaland",downpour,medium,0,0,ISRO / NRSC Landslide Inventory & GLC
7385,"Holenjang, Chandel district",08-01-2015 00:00,24.004,93.9815,Manipur,"Holenjang, Chandel district",continuous_rain,medium,0,0,ISRO / NRSC Landslide Inventory & GLC
3643,Villages surrounding the West Sikkim district of ,06/23/2011 11:30:00 PM,27.2879,88.2579,NER,Villages surrounding the West Sikkim district of ,downpour,large,16,0,ISRO / NRSC Landslide Inventory & GLC
2575,"road between Haflong and Lanka, Assam",10-09-2010 00:00,25.5242,92.9914,Assam,"road between Haflong and Lanka, Assam",downpour,medium,0,0,ISRO / NRSC Landslide Inventory & GLC
3840,Manipur,07/25/2011 12:00:00 AM,24.6869,93.9157,Manipur,Manipur,downpour,medium,0,0,ISRO / NRSC Landslide Inventory & GLC
6015,Lohit District of Arunachal Pradesh,05-08-2014 00:00,27.9032,96.174,Arunachal Pradesh,Lohit District of Arunachal Pradesh,rain,medium,0,0,ISRO / NRSC Landslide Inventory & GLC
3741,Maram (80 km north of Imphal),07-07-2011 00:00,25.4191,94.1079,Nāgāland,Maram (80 km north of Imphal),rain,medium,0,0,ISRO / NRSC Landslide Inventory & GLC
210,"Hattisurey in Kalimpong, on National Highway 31A",08/25/2007 12:00:00 AM,27.0713,88.4308,Bengal,"Hattisurey in Kalimpong, on National Highway 31A",rain,medium,0,0,ISRO / NRSC Landslide Inventory & GLC
2106,"road to Oting near Longlam village, 13 km from Tizit subdivision, Mon district, Nagaland",07/20/2010 12:00:00 AM,26.8716,94.9921,Nāgāland,"road to Oting near Longlam village, 13 km from Tizit subdivision, Mon district, Nagaland",downpour,medium,0,0,ISRO / NRSC Landslide Inventory & GLC
9051,"12th Mile area at Jorabat, Meghalaya, India",07/19/2016 09:00:00 AM,26.09748244,91.8744337,Meghalaya,"12th Mile area at Jorabat, Meghalaya, India",unknown,medium,0,1,ISRO / NRSC Landslide Inventory & GLC
870,"West Kameng, Arunachal Pradesh",10/29/2008 12:00:00 AM,27.4,92.35,Arunāchal Pradesh,"West Kameng, Arunachal Pradesh",downpour,medium,12,0,ISRO / NRSC Landslide Inventory & GLC
2392,"17th mile(?), Jawaharlal Nehru Marg hwy, between Gangtok and Nathu La, Sikkim",09-04-2010 00:00,27.3702,88.7334,Sikkim,"17th mile(?), Jawaharlal Nehru Marg hwy, between Gangtok and Nathu La, Sikkim",downpour,medium,0,0,ISRO / NRSC Landslide Inventory & GLC
1037,"Sevoke, 20km from Siliguri, North Eastern, India (Highway NH31A:Coronation Bridge to the Sevoke police outpost section blocked)",06/17/2009 04:00:00 AM,26.89,88.47,Bengal,"Sevoke, 20km from Siliguri, North Eastern, India (Highway NH31A:Coronation Bridge to the Sevoke police outpost section blocked)",downpour,medium,0,0,ISRO / NRSC Landslide Inventory & GLC
3830,Manipur,07/22/2011 12:00:00 AM,24.3527,94.3429,Manipur,Manipur,downpour,small,0,0,ISRO / NRSC Landslide Inventory & GLC
4906,"Helipong-Chessore Road, Nagaland",06-07-2013 00:00,26.0977,94.7499,Nāgāland,"Helipong-Chessore Road, Nagaland",unknown,medium,0,0,ISRO / NRSC Landslide Inventory & GLC
1091,"Kalimpong, Darjeeling, West Bengal",08/16/2009 09:00:00 AM,27.02459801,88.43849551,Bengal,"Kalimpong, Darjeeling, West Bengal",downpour,medium,2,0,ISRO / NRSC Landslide Inventory & GLC
151,Kurseong,08-02-2007 00:00,26.8905,88.2789,Bengal,Kurseong,rain,medium,3,0,ISRO / NRSC Landslide Inventory & GLC
7076,near Kalijhora,07-04-2015 18:00,26.9282,88.4553,West Bengal,near Kalijhora,unknown,small,0,0,ISRO / NRSC Landslide Inventory & GLC
218,"Ghayabari-Tindharia on National Highway 55, near Darjeeling hills",08/29/2007 12:00:00 AM,27.0096,88.2548,Bengal,"Ghayabari-Tindharia on National Highway 55, near Darjeeling hills",rain,medium,0,0,ISRO / NRSC Landslide Inventory & GLC
2261,"Hatisur(?), Sevok(Sevoke), Kalimpong sub-division, NH 31A between Siliguri and Gangtok, Sikkim",08/17/2010 08:00:00 AM,26.9435,88.4445,Bengal,"Hatisur(?), Sevok(Sevoke), Kalimpong sub-division, NH 31A between Siliguri and Gangtok, Sikkim",downpour,medium,0,0,ISRO / NRSC Landslide Inventory & GLC
93,"Indira Bypass, Amdo Golai",06/13/2007 12:00:00 AM,26.7324,88.4089,Bengal,"Indira Bypass, Amdo Golai",rain,small,0,0,ISRO / NRSC Landslide Inventory & GLC
9603,Mirik,10-12-2016 00:00,26.8861,88.1704,West Bengal,Mirik,downpour,medium,0,0,ISRO / NRSC Landslide Inventory & GLC
3269,"road from other districts to Hawai(Tawai?) which is  on Lojit river, near Hayuliang,  Anjaw district, Arunachal Pradesh",03/22/2011 12:00:00 AM,28.0791,96.5242,Arunāchal Pradesh,"road from other districts to Hawai(Tawai?) which is  on Lojit river, near Hayuliang,  Anjaw district, Arunachal Pradesh",downpour,medium,0,0,ISRO / NRSC Landslide Inventory & GLC
1755,"Natl. Highway 31-A at Pani House(?), Gangtok",04/17/2010 03:00:00 PM,27.3341,88.6083,Sikkim,"Natl. Highway 31-A at Pani House(?), Gangtok",downpour,small,0,0,ISRO / NRSC Landslide Inventory & GLC
6990,"New Land (""""New Colony"""")",06/24/2015 12:00:00 AM,26.0319,94.5466,Nagaland,"New Land (""""New Colony"""")",continuous_rain,medium,0,0,ISRO / NRSC Landslide Inventory & GLC
1995,Tripi (Tirpai?) road of Upper Gumfa area in Kalimpong,06/16/2010 12:00:00 AM,27.0765,88.4808,Bengal,Tripi (Tirpai?) road of Upper Gumfa area in Kalimpong,rain,medium,3,0,ISRO / NRSC Landslide Inventory & GLC
6222,Karsingsa block point,10-01-2014 11:00,27.1249,93.7706,Arunachal Pradesh,Karsingsa block point,unknown,small,5,0,ISRO / NRSC Landslide Inventory & GLC
9169,"on road between Mon and Tobu near Telangsao Hydro project , Nagaland, India",06-12-2016 00:00,26.1677,94.2442,Nagaland,"on road between Mon and Tobu near Telangsao Hydro project , Nagaland, India",continuous_rain,unknown,0,0,ISRO / NRSC Landslide Inventory & GLC
4435,"Tirap , Arunachal Pradesh",06/25/2012 12:00:00 AM,27.174,95.8011,Arunāchal Pradesh,"Tirap , Arunachal Pradesh",downpour,large,0,0,ISRO / NRSC Landslide Inventory & GLC
4313,"Endulin Nallah, Mayodia, 17-camp, 83-camp",04-08-2012 00:00,28.4659,95.86,Arunāchal Pradesh,"Endulin Nallah, Mayodia, 17-camp, 83-camp",downpour,medium,0,0,ISRO / NRSC Landslide Inventory & GLC
2344,"NH-53 at Nungba police station, Kambirong(?), Manipur",08/27/2010 04:30:00 PM,24.7505,93.4221,Assam,"NH-53 at Nungba police station, Kambirong(?), Manipur",downpour,medium,0,0,ISRO / NRSC Landslide Inventory & GLC
7263,"15 kms from Maram, National Highway-102/A (Maram Peren road)",07/22/2015 12:00:00 AM,25.4477,94.0489,Manipur,"15 kms from Maram, National Highway-102/A (Maram Peren road)",continuous_rain,medium,0,0,ISRO / NRSC Landslide Inventory & GLC
5271,"Nanga, Nagaland",08-04-2013 00:00,26.284,94.5808,Nāgāland,"Nanga, Nagaland",continuous_rain,medium,0,0,ISRO / NRSC Landslide Inventory & GLC
4424,"Lalunggaon, Guwahati,  Assam",06/20/2012 12:00:00 AM,26.149,91.7351,Assam,"Lalunggaon, Guwahati,  Assam",downpour,medium,0,0,ISRO / NRSC Landslide Inventory & GLC
3525,"Kaiphundai(?)-Tousem(in Assam) road, Tamenglong district, Manipur",05/22/2011 12:00:00 AM,25.0672,93.4093,Assam,"Kaiphundai(?)-Tousem(in Assam) road, Tamenglong district, Manipur",downpour,medium,0,0,ISRO / NRSC Landslide Inventory & GLC
7369,between Chalong and Paraolon,08-01-2015 00:00,24.1988,94.1016,Manipur,between Chalong and Paraolon,continuous_rain,medium,0,0,ISRO / NRSC Landslide Inventory & GLC
4892,Upper Subansiri,06-01-2013 00:00,27.8776,94.25,Arunāchal Pradesh,Upper Subansiri,downpour,large,0,0,ISRO / NRSC Landslide Inventory & GLC
4377,"Guwahati, Assam",06-02-2012 00:00,26.1475,91.7356,Assam,"Guwahati, Assam",downpour,large,0,0,ISRO / NRSC Landslide Inventory & GLC
5430,"Tamenglong- Khongsang Road, Manipur",09-01-2013 00:00,24.9037,93.487,Manipur,"Tamenglong- Khongsang Road, Manipur",continuous_rain,medium,0,0,ISRO / NRSC Landslide Inventory & GLC
7264,22 kms to 30 kms between Sangkungmai and Willong,07/22/2015 12:00:00 AM,25.4538,93.9827,Manipur,22 kms to 30 kms between Sangkungmai and Willong,continuous_rain,medium,0,0,ISRO / NRSC Landslide Inventory & GLC
9220,"Finchaytaar, Lodhoma, Darjeeling, India",07/26/2016 11:00:00 PM,27.1027,88.1218,West Bengal,"Finchaytaar, Lodhoma, Darjeeling, India",downpour,unknown,0,0,ISRO / NRSC Landslide Inventory & GLC
5006,"Thillong Village, Doyang Along State Highway 1, Wokha To Merapani Road",07-01-2013 00:00,26.1147,94.3864,Nāgāland,"Thillong Village, Doyang Along State Highway 1, Wokha To Merapani Road",downpour,medium,0,0,ISRO / NRSC Landslide Inventory & GLC
256,Rhodong village near Rhey in East Sikkim,09-10-2007 00:00,27.3425,88.6236,Sikkim,Rhodong village near Rhey in East Sikkim,rain,medium,0,0,ISRO / NRSC Landslide Inventory & GLC
9335,"Bilaipur, Hailakandi district, Assam, India",05/18/2016 08:00:00 AM,24.5202,92.7239,Assam,"Bilaipur, Hailakandi district, Assam, India",continuous_rain,unknown,2,0,ISRO / NRSC Landslide Inventory & GLC
7279,Tamenglong Ward No-IV,07/24/2015 12:00:00 AM,24.9818,93.5142,Manipur,Tamenglong Ward No-IV,monsoon,medium,0,0,ISRO / NRSC Landslide Inventory & GLC
1963,"near Sevok(Sevoke), Highway 31A to Sikkimand Kalimpong, Hatisura(?), Darjeeling",06-11-2010 00:00,26.944,88.4441,Bengal,"near Sevok(Sevoke), Highway 31A to Sikkimand Kalimpong, Hatisura(?), Darjeeling",downpour,medium,0,0,ISRO / NRSC Landslide Inventory & GLC
6288,Noonmati,09/22/2014 12:00:00 AM,26.1985,91.7998,Assam,Noonmati,rain,small,0,0,ISRO / NRSC Landslide Inventory & GLC
5087,"National Highway 29 Near Phesama Village, Nagaland",07-12-2013 00:00,25.6269,94.1139,Nāgāland,"National Highway 29 Near Phesama Village, Nagaland",downpour,medium,0,0,ISRO / NRSC Landslide Inventory & GLC
2461,"Karcham-Sangla rd, Himachal Pradesh",09/19/2010 12:00:00 AM,31.4582,78.2114,Himachal Pradesh,"Karcham-Sangla rd, Himachal Pradesh",downpour,medium,0,0,ISRO / NRSC Landslide Inventory & GLC
6966,"National Highway 31A, Darjeeling Hills",06/17/2015 12:00:00 AM,26.9974,88.4314,West Bengal,"National Highway 31A, Darjeeling Hills",downpour,small,0,0,ISRO / NRSC Landslide Inventory & GLC
258,"NH-39 at Imphal-Moreh section, Lokchao largest event",09-11-2007 00:00,24.4279,94.0564,Manipur,"NH-39 at Imphal-Moreh section, Lokchao largest event",rain,medium,3,0,ISRO / NRSC Landslide Inventory & GLC
5338,"Longlem, Nagaland",08/16/2013 12:00:00 AM,26.8727,94.9275,Assam,"Longlem, Nagaland",rain,medium,0,0,ISRO / NRSC Landslide Inventory & GLC
2411,"districts Lakhimpur, Dhemaji, Golaghat, and Sonitpur, Assam province",09-10-2010 00:00,27.0011,93.7273,Arunāchal Pradesh,"districts Lakhimpur, Dhemaji, Golaghat, and Sonitpur, Assam province",downpour,medium,0,0,ISRO / NRSC Landslide Inventory & GLC
6143,"Zembabawk, Aizawl",07/14/2014 06:00:00 PM,23.7327,92.7463,Mizoram,"Zembabawk, Aizawl",downpour,medium,1,2,ISRO / NRSC Landslide Inventory & GLC
4908,"15 Km From Gangtok, Himalayans",06-08-2013 17:00,27.3721,88.708,Sikkim,"15 Km From Gangtok, Himalayans",downpour,medium,0,0,ISRO / NRSC Landslide Inventory & GLC
9124,"Rongthragittim Songittal village, near Sibbari, South Garo Hills District, Meghalaya, India",07/19/2016 12:00:00 AM,25.203,90.5573,Meghalaya,"Rongthragittim Songittal village, near Sibbari, South Garo Hills District, Meghalaya, India",continuous_rain,large,0,0,ISRO / NRSC Landslide Inventory & GLC
2282,"Tuensang-Kohima rd, 3 km outside Tuensang, Nagaland",08/19/2010 06:30:00 AM,26.1984,94.8158,Nāgāland,"Tuensang-Kohima rd, 3 km outside Tuensang, Nagaland",downpour,medium,0,0,ISRO / NRSC Landslide Inventory & GLC
9338,"Sonachirra, Karimganj district, Assam, India",05/18/2016 08:00:00 AM,24.4638,92.4943,Assam,"Sonachirra, Karimganj district, Assam, India",continuous_rain,medium,5,0,ISRO / NRSC Landslide Inventory & GLC
2421,"road to Muanna Godown, Zuangtui, Mizoram",09/13/2010 09:00:00 AM,23.75406693,92.74128531,Mizoram,"road to Muanna Godown, Zuangtui, Mizoram",downpour,medium,0,0,ISRO / NRSC Landslide Inventory & GLC
2249,"Kiphire-Tuensang rd, Nagaland",08/14/2010 12:00:00 AM,26.0814,94.803,Nāgāland,"Kiphire-Tuensang rd, Nagaland",downpour,medium,0,0,ISRO / NRSC Landslide Inventory & GLC
8901,"National Highway 2, near Kohima, Nagaland, India",07-10-2016 00:00,25.7902,94.1318,Nagaland,"National Highway 2, near Kohima, Nagaland, India",downpour,medium,0,0,ISRO / NRSC Landslide Inventory & GLC
2283,"2 km from Khongsang village(?), road between Tamenglong and Imphal or Nungba, Manipur",08/19/2010 12:00:00 AM,24.8961,93.4957,Manipur,"2 km from Khongsang village(?), road between Tamenglong and Imphal or Nungba, Manipur",downpour,medium,0,0,ISRO / NRSC Landslide Inventory & GLC
4552,"Takdah, West Bengal",09/14/2012 12:00:00 AM,27.0377,88.3603,Sikkim,"Takdah, West Bengal",downpour,medium,0,0,ISRO / NRSC Landslide Inventory & GLC
6016,"Satgarakul Village, Karimganj, Assam State",05-09-2014 23:00,24.8669,92.3576,Assam,"Satgarakul Village, Karimganj, Assam State",rain,small,7,0,ISRO / NRSC Landslide Inventory & GLC
215,Phesema area at National Highway 39,08/28/2007 12:00:00 AM,25.7428,93.9136,Nāgāland,Phesema area at National Highway 39,rain,medium,1,0,ISRO / NRSC Landslide Inventory & GLC
5533,"Kalimpong, West Bengal",09/16/2013 03:00:00 PM,27.0599,88.4674,Bengal,"Kalimpong, West Bengal",downpour,small,1,0,ISRO / NRSC Landslide Inventory & GLC
7780,Sailam village,08/26/2015 12:00:00 AM,23.3572,92.7878,Mizoram,Sailam village,continuous_rain,medium,1,0,ISRO / NRSC Landslide Inventory & GLC
2281,"Kisima, Nagaland",08/19/2010 06:00:00 PM,25.61560252,94.11603493,Nāgāland,"Kisima, Nagaland",downpour,medium,0,0,ISRO / NRSC Landslide Inventory & GLC
1996,"Shayoung Ward(?), Longleng, Nagaland",06/17/2010 07:30:00 PM,26.4333,94.8833,Nāgāland,"Shayoung Ward(?), Longleng, Nagaland",downpour,medium,0,0,ISRO / NRSC Landslide Inventory & GLC
260,"National Highway 31A, between Singtam and Rangpo",09-11-2007 00:00,27.2084,88.4909,NER,"National Highway 31A, between Singtam and Rangpo",rain,medium,0,0,ISRO / NRSC Landslide Inventory & GLC
6283,Dakhingaon,09/22/2014 12:00:00 AM,26.1314,91.7548,Assam,Dakhingaon,rain,small,0,0,ISRO / NRSC Landslide Inventory & GLC
8930,"North Point Colony, Akuluto, Nagaland, India",07-11-2016 23:00,26.1699,94.4922,Nagaland,"North Point Colony, Akuluto, Nagaland, India",unknown,large,0,0,ISRO / NRSC Landslide Inventory & GLC
869,North Lakhimpur ,10/29/2008 12:00:00 AM,27.2333,94.1167,Assam,North Lakhimpur ,downpour,medium,0,0,ISRO / NRSC Landslide Inventory & GLC
285,"National Highway, 45 Aizwal (Mizoram)",09/29/2007 12:00:00 AM,24.1293,92.6921,Mizoram,"National Highway, 45 Aizwal (Mizoram)",rain,medium,0,0,ISRO / NRSC Landslide Inventory & GLC
3662,"Ikou-Gangpijang road, near: Ikou, Saikul, and Gangpijang; Imphal India",06/28/2011 12:00:00 AM,25.03561729,94.0144205,Manipur,"Ikou-Gangpijang road, near: Ikou, Saikul, and Gangpijang; Imphal India",rain,medium,0,0,ISRO / NRSC Landslide Inventory & GLC
