slope,elevation,aspect_deg,historical_density,dist_to_road_m,dist_to_drainage_m,geology_weathering,rain_1h,rain_6h,rain_24h,rain_72h,forecast_rain_24h,soil_moisture_0_7,soil_moisture_7_28,soil_moisture_28_100,humidity,temperature,population,road_criticality,target_risk_score,risk_class,data_source
13.25,1406.1,312.4,1,404.2,300.9,3.0,32.9,127.7,254.9,643.9,191.18,0.466,0.52,0.48,98.2,16.9,8500,1.0,7.9,0,LANDSLIDE_OBSERVATION_CATALOG
7.49,1264.3,55.3,0,47.1,6.7,4.0,19.8,67.8,169.9,424.3,127.43,0.357,0.499,0.384,85.5,17.8,15000,3.0,1.7,0,LANDSLIDE_OBSERVATION_CATALOG
14.65,1782.8,300.0,4,1071.2,152.5,4.0,40.6,177.4,513.6,1200.0,385.2,0.55,0.52,0.48,99.0,14.4,8500,1.0,43.4,1,LANDSLIDE_OBSERVATION_CATALOG
38.37,526.3,117.9,4,159.1,700.0,4.0,32.5,106.1,323.5,770.3,242.62,0.55,0.52,0.48,99.0,22.6,8500,2.0,65.2,2,LANDSLIDE_OBSERVATION_CATALOG
26.2,459.6,345.2,5,469.7,587.6,3.0,8.8,16.7,37.1,95.4,27.83,0.187,0.236,0.226,65.6,23.0,8500,1.0,4.9,0,LANDSLIDE_OBSERVATION_CATALOG
35.77,1120.3,120.1,5,206.4,300.0,3.0,13.6,46.1,109.5,236.5,82.12,0.28,0.349,0.294,76.4,18.7,8500,2.0,16.5,0,LANDSLIDE_OBSERVATION_CATALOG
31.29,1359.6,163.6,3,909.4,1690.4,3.0,8.7,40.0,43.5,96.0,32.62,0.196,0.237,0.226,66.5,17.2,8500,1.0,3.3,0,LANDSLIDE_OBSERVATION_CATALOG
35.85,1657.7,327.8,0,5.0,101.9,3.0,1.8,1.8,11.2,33.4,8.4,0.154,0.187,0.196,61.7,15.2,15000,3.0,1.3,0,LANDSLIDE_OBSERVATION_CATALOG
1.95,1024.5,55.9,0,115.0,890.7,3.0,24.6,94.9,259.8,599.7,194.85,0.473,0.52,0.468,99.0,19.3,8500,2.0,2.8,0,LANDSLIDE_OBSERVATION_CATALOG
26.34,1590.1,340.6,3,124.1,315.5,3.0,28.5,102.9,284.8,497.8,213.6,0.505,0.52,0.419,99.0,15.7,8500,2.0,13.1,0,LANDSLIDE_OBSERVATION_CATALOG
25.0,754.8,81.2,5,23.7,902.6,3.0,11.1,32.2,65.5,210.8,49.12,0.224,0.329,0.281,69.8,21.1,15000,3.0,6.6,0,LANDSLIDE_OBSERVATION_CATALOG
32.4,2359.7,101.0,3,244.8,375.4,3.0,16.3,79.4,149.2,182.4,111.9,0.331,0.306,0.268,82.4,10.7,8500,2.0,3.7,0,LANDSLIDE_OBSERVATION_CATALOG
30.02,1601.3,59.7,2,238.5,211.8,3.0,33.7,90.8,241.9,400.0,181.43,0.45,0.48,0.372,96.3,15.6,8500,2.0,14.2,0,LANDSLIDE_OBSERVATION_CATALOG
30.97,1021.6,233.7,3,38.8,148.9,4.0,35.3,152.2,468.3,978.0,351.23,0.55,0.52,0.48,99.0,19.4,15000,3.0,81.7,3,LANDSLIDE_OBSERVATION_CATALOG
30.87,1990.1,8.9,4,310.8,175.3,3.5,3.3,3.3,3.3,31.2,2.47,0.144,0.185,0.195,60.5,13.1,8500,1.0,4.0,0,LANDSLIDE_OBSERVATION_CATALOG
7.33,2487.8,103.8,3,294.8,345.2,3.0,4.0,20.4,23.4,32.6,17.55,0.17,0.186,0.196,63.5,9.8,8500,1.0,1.3,0,LANDSLIDE_OBSERVATION_CATALOG
27.36,363.4,311.6,3,369.5,5.0,3.0,34.6,89.1,251.8,493.7,188.85,0.462,0.52,0.417,97.8,23.6,8500,1.0,13.6,0,LANDSLIDE_OBSERVATION_CATALOG
28.95,580.6,123.1,1,373.6,120.3,4.0,20.8,67.1,151.8,314.0,113.85,0.334,0.411,0.331,82.8,22.2,8500,1.0,7.1,0,LANDSLIDE_OBSERVATION_CATALOG
21.79,175.6,194.7,2,464.8,218.4,3.0,2.6,2.6,4.1,4.1,3.07,0.145,0.163,0.182,60.6,24.9,8500,1.0,1.0,0,LANDSLIDE_OBSERVATION_CATALOG
18.74,2356.2,293.3,1,286.9,381.8,3.0,39.1,175.1,435.5,1094.2,326.62,0.55,0.52,0.48,99.0,10.7,8500,1.0,41.3,1,LANDSLIDE_OBSERVATION_CATALOG
40.59,1560.1,251.3,2,39.2,343.8,3.0,33.9,84.1,148.4,271.0,111.3,0.33,0.377,0.31,82.3,15.9,15000,3.0,5.7,0,LANDSLIDE_OBSERVATION_CATALOG
37.21,1797.8,17.5,1,57.2,52.7,4.0,18.4,52.5,72.5,186.1,54.38,0.233,0.309,0.269,70.9,14.3,15000,3.0,4.2,0,LANDSLIDE_OBSERVATION_CATALOG
30.14,1054.8,330.8,0,302.1,293.3,3.0,7.7,35.0,83.1,175.3,62.32,0.246,0.3,0.264,72.5,19.1,8500,1.0,1.7,0,LANDSLIDE_OBSERVATION_CATALOG
28.06,2431.5,213.8,1,432.5,106.3,3.0,15.4,37.9,134.3,238.2,100.73,0.312,0.351,0.294,80.1,10.2,8500,1.0,2.7,0,LANDSLIDE_OBSERVATION_CATALOG
24.53,269.3,214.5,0,81.7,49.4,3.0,7.3,27.2,93.0,188.2,69.75,0.259,0.311,0.27,74.0,24.2,8500,2.0,1.2,0,LANDSLIDE_OBSERVATION_CATALOG
23.18,1818.0,245.7,0,283.7,65.5,3.0,7.3,29.3,66.4,88.7,49.8,0.225,0.231,0.223,70.0,14.2,8500,1.0,1.5,0,LANDSLIDE_OBSERVATION_CATALOG
52.05,2679.2,8.3,2,74.9,230.6,3.5,16.1,16.1,188.0,404.8,141.0,0.381,0.484,0.374,88.2,8.6,8500,2.0,26.6,1,LANDSLIDE_OBSERVATION_CATALOG
9.69,872.6,271.3,0,26.2,183.4,3.0,11.5,36.9,102.0,182.5,76.5,0.271,0.306,0.268,75.3,20.3,15000,3.0,0.6,0,LANDSLIDE_OBSERVATION_CATALOG
10.94,702.2,25.9,0,253.5,220.7,3.5,7.1,20.4,57.0,103.0,42.75,0.213,0.242,0.229,68.5,21.4,8500,1.0,0.7,0,LANDSLIDE_OBSERVATION_CATALOG
22.29,2922.2,36.1,5,58.2,449.7,4.0,21.9,95.2,273.6,617.0,205.2,0.49,0.52,0.476,99.0,7.0,15000,3.0,21.8,0,LANDSLIDE_OBSERVATION_CATALOG
41.98,1913.8,343.2,4,239.1,188.5,4.0,19.9,56.2,133.9,283.6,100.43,0.311,0.387,0.316,80.1,13.6,8500,2.0,9.0,0,LANDSLIDE_OBSERVATION_CATALOG
38.92,621.2,270.3,3,617.2,658.5,3.0,12.8,55.6,118.7,198.2,89.03,0.292,0.319,0.275,77.8,22.0,8500,1.0,3.9,0,LANDSLIDE_OBSERVATION_CATALOG
29.75,1200.0,244.1,6,31.8,433.9,3.0,20.5,89.3,256.4,698.0,192.3,0.468,0.52,0.48,98.5,18.2,15000,3.0,35.7,1,LANDSLIDE_OBSERVATION_CATALOG
17.5,1829.1,238.6,3,99.0,745.3,3.0,2.5,10.0,16.8,40.2,12.6,0.162,0.192,0.199,62.5,14.1,8500,2.0,1.4,0,LANDSLIDE_OBSERVATION_CATALOG
6.0,1101.9,8.4,5,838.1,1051.3,3.0,8.8,29.3,85.6,172.0,64.2,0.25,0.298,0.263,72.8,18.8,8500,1.0,1.4,0,LANDSLIDE_OBSERVATION_CATALOG
23.42,1647.8,210.9,0,1233.6,551.2,4.0,7.7,28.1,82.6,168.2,61.95,0.246,0.295,0.261,72.4,15.3,8500,1.0,1.1,0,LANDSLIDE_OBSERVATION_CATALOG
28.93,2524.7,49.7,2,291.1,1591.3,4.0,11.0,50.9,113.0,257.2,84.75,0.285,0.366,0.303,77.0,9.6,8500,1.0,6.3,0,LANDSLIDE_OBSERVATION_CATALOG
22.18,1509.9,242.0,1,523.3,710.8,3.0,31.8,125.1,307.6,538.4,230.7,0.534,0.52,0.438,99.0,16.2,8500,1.0,14.2,0,LANDSLIDE_OBSERVATION_CATALOG
22.76,1391.1,296.3,1,136.5,3038.0,3.0,7.0,39.9,113.2,211.3,84.9,0.285,0.329,0.281,77.0,17.0,8500,2.0,1.4,0,LANDSLIDE_OBSERVATION_CATALOG
7.39,1291.2,63.1,3,405.9,355.7,3.0,23.0,23.0,309.9,555.2,232.42,0.537,0.52,0.446,99.0,17.6,8500,1.0,5.9,0,LANDSLIDE_OBSERVATION_CATALOG
14.03,1438.2,272.8,2,174.5,447.5,3.0,20.1,69.8,201.2,287.6,150.9,0.398,0.39,0.318,90.2,16.7,8500,2.0,4.7,0,LANDSLIDE_OBSERVATION_CATALOG
0.26,2452.3,244.6,2,70.6,580.7,3.0,18.2,71.3,151.1,303.1,113.32,0.333,0.402,0.325,82.7,10.1,8500,2.0,1.1,0,LANDSLIDE_OBSERVATION_CATALOG
25.47,2447.5,295.1,1,554.8,567.6,3.0,9.5,9.5,91.5,134.5,68.62,0.257,0.268,0.245,73.7,10.1,8500,1.0,2.1,0,LANDSLIDE_OBSERVATION_CATALOG
32.2,259.1,147.1,1,246.6,725.1,4.0,12.2,53.7,135.9,277.1,101.93,0.314,0.382,0.313,80.4,24.3,8500,2.0,5.2,0,LANDSLIDE_OBSERVATION_CATALOG
23.61,1445.3,297.6,4,39.5,765.5,4.0,40.0,134.3,350.9,615.5,263.17,0.55,0.52,0.475,99.0,16.6,15000,3.0,25.2,0,LANDSLIDE_OBSERVATION_CATALOG
14.04,1536.9,57.8,1,213.0,1034.4,4.0,2.9,2.9,2.9,18.8,2.17,0.144,0.175,0.189,60.4,16.0,8500,2.0,0.9,0,LANDSLIDE_OBSERVATION_CATALOG
16.85,487.4,109.4,0,13.2,166.9,4.0,3.3,4.8,4.8,24.2,3.6,0.146,0.179,0.192,60.7,22.8,15000,3.0,0.9,0,LANDSLIDE_OBSERVATION_CATALOG
16.94,1149.1,350.8,0,199.1,1007.1,3.0,7.0,13.8,78.7,110.8,59.03,0.241,0.249,0.233,71.8,18.5,8500,2.0,1.2,0,LANDSLIDE_OBSERVATION_CATALOG
20.59,2419.1,192.6,4,847.7,558.0,3.5,9.8,50.4,109.7,314.5,82.28,0.28,0.412,0.331,76.5,10.3,8500,1.0,6.5,0,LANDSLIDE_OBSERVATION_CATALOG
42.71,2631.5,173.9,4,225.6,641.9,4.0,49.3,193.0,600.0,992.7,450.0,0.55,0.52,0.48,99.0,8.9,8500,2.0,99.0,3,LANDSLIDE_OBSERVATION_CATALOG
29.07,2006.3,193.4,2,224.3,1067.7,3.0,60.0,274.8,562.8,1171.3,422.1,0.55,0.52,0.48,99.0,13.0,8500,2.0,79.1,3,LANDSLIDE_OBSERVATION_CATALOG
35.95,2018.3,337.2,0,924.5,346.1,3.0,15.0,57.3,131.5,184.5,98.62,0.308,0.308,0.269,79.7,12.9,8500,1.0,2.9,0,LANDSLIDE_OBSERVATION_CATALOG
21.12,852.1,233.3,4,359.1,530.2,4.0,54.0,175.3,469.6,937.1,352.2,0.55,0.52,0.48,99.0,20.5,8500,1.0,55.2,2,LANDSLIDE_OBSERVATION_CATALOG
52.15,1446.0,344.2,2,37.8,397.5,3.0,17.5,61.9,121.9,217.4,91.43,0.296,0.334,0.284,78.3,16.6,15000,3.0,9.0,0,LANDSLIDE_OBSERVATION_CATALOG
21.2,773.0,86.7,7,69.3,167.0,3.0,30.7,138.8,303.9,642.0,227.92,0.529,0.52,0.48,99.0,21.0,8500,2.0,30.0,1,LANDSLIDE_OBSERVATION_CATALOG
0.0,1360.7,178.0,3,755.5,2331.4,4.0,51.4,196.4,600.0,1200.0,450.0,0.55,0.52,0.48,99.0,17.2,8500,1.0,37.0,1,LANDSLIDE_OBSERVATION_CATALOG
7.61,552.8,300.3,2,56.3,206.7,3.0,24.7,108.1,280.0,498.1,210.0,0.498,0.52,0.419,99.0,22.4,15000,3.0,6.1,0,LANDSLIDE_OBSERVATION_CATALOG
25.35,596.3,205.6,3,36.9,424.3,4.0,21.8,58.9,150.8,259.5,113.1,0.333,0.368,0.305,82.6,22.1,15000,3.0,3.9,0,LANDSLIDE_OBSERVATION_CATALOG
35.59,1321.5,168.6,2,158.9,330.0,3.5,19.3,80.2,170.5,318.1,127.88,0.358,0.414,0.333,85.6,17.4,8500,2.0,7.1,0,LANDSLIDE_OBSERVATION_CATALOG
28.31,1200.0,306.4,3,56.6,1494.4,3.0,4.9,19.7,73.2,194.8,54.9,0.234,0.316,0.274,71.0,18.2,15000,3.0,2.7,0,LANDSLIDE_OBSERVATION_CATALOG
23.86,2338.7,283.3,2,30.4,743.7,3.0,11.2,35.3,122.3,367.7,91.72,0.297,0.454,0.356,78.3,10.8,15000,3.0,5.2,0,LANDSLIDE_OBSERVATION_CATALOG
10.82,1617.5,318.1,0,216.7,99.1,3.0,22.7,45.9,120.2,235.9,90.15,0.294,0.349,0.293,78.0,15.5,8500,2.0,2.6,0,LANDSLIDE_OBSERVATION_CATALOG
5.42,1251.3,268.6,1,209.9,127.9,3.5,9.1,28.5,82.2,125.6,61.65,0.245,0.26,0.24,72.3,17.9,8500,2.0,1.3,0,LANDSLIDE_OBSERVATION_CATALOG
28.64,2128.7,350.0,4,176.6,195.0,3.0,4.9,8.0,42.4,50.0,31.8,0.194,0.2,0.204,66.4,12.2,8500,2.0,3.8,0,LANDSLIDE_OBSERVATION_CATALOG
23.34,786.2,55.3,1,327.2,171.2,4.0,21.5,21.5,146.6,320.0,109.95,0.328,0.416,0.334,82.0,20.9,8500,1.0,2.7,0,LANDSLIDE_OBSERVATION_CATALOG
17.67,736.7,245.7,3,99.3,246.4,3.0,28.9,111.5,299.9,657.5,224.92,0.524,0.52,0.48,99.0,21.2,8500,2.0,11.2,0,LANDSLIDE_OBSERVATION_CATALOG
41.31,2449.0,162.2,2,260.1,50.0,4.0,21.2,70.8,125.7,206.5,94.28,0.301,0.325,0.279,78.9,10.1,8500,1.0,5.2,0,LANDSLIDE_OBSERVATION_CATALOG
23.53,987.8,359.6,1,533.2,180.2,3.0,9.6,46.7,94.3,269.3,70.72,0.261,0.375,0.309,74.1,19.6,8500,1.0,3.1,0,LANDSLIDE_OBSERVATION_CATALOG
1.59,1120.2,197.0,1,242.0,473.9,3.5,10.8,29.6,71.8,143.1,53.85,0.232,0.274,0.249,70.8,18.7,8500,2.0,1.0,0,LANDSLIDE_OBSERVATION_CATALOG
17.7,1430.5,209.4,2,70.4,871.4,3.0,22.4,67.4,207.8,386.6,155.85,0.406,0.469,0.366,91.2,16.7,8500,2.0,6.8,0,LANDSLIDE_OBSERVATION_CATALOG
45.1,2866.2,80.8,1,60.5,264.2,3.5,23.1,23.1,204.2,497.6,153.15,0.401,0.52,0.419,90.6,7.4,8500,2.0,17.7,0,LANDSLIDE_OBSERVATION_CATALOG
15.35,607.0,72.5,1,695.5,2886.8,3.0,13.7,64.2,210.4,280.2,157.8,0.409,0.384,0.314,91.6,22.1,8500,1.0,1.4,0,LANDSLIDE_OBSERVATION_CATALOG
25.0,174.9,183.5,3,244.5,307.6,3.0,28.1,79.3,266.9,524.6,200.17,0.482,0.52,0.432,99.0,24.9,8500,2.0,37.6,1,LANDSLIDE_OBSERVATION_CATALOG
4.09,553.5,25.6,0,18.8,328.3,4.0,7.7,39.3,118.9,208.1,89.18,0.292,0.326,0.28,77.8,22.4,15000,3.0,1.1,0,LANDSLIDE_OBSERVATION_CATALOG
36.56,1258.7,187.9,1,111.5,718.6,3.0,4.5,13.9,37.2,60.1,27.9,0.188,0.208,0.209,65.6,17.8,8500,2.0,1.6,0,LANDSLIDE_OBSERVATION_CATALOG
18.54,1233.5,8.0,3,38.8,300.0,3.5,13.0,54.5,138.6,207.0,103.95,0.317,0.326,0.279,80.8,18.0,15000,3.0,6.2,0,LANDSLIDE_OBSERVATION_CATALOG
16.91,2193.2,181.5,1,517.0,982.0,4.0,13.5,40.1,98.5,120.0,73.88,0.266,0.256,0.238,74.8,11.7,8500,1.0,1.1,0,LANDSLIDE_OBSERVATION_CATALOG
37.96,1196.2,242.9,2,240.1,240.4,4.0,7.9,38.7,82.7,179.8,62.03,0.246,0.304,0.266,72.4,18.2,8500,2.0,4.8,0,LANDSLIDE_OBSERVATION_CATALOG
7.64,715.0,123.0,0,259.9,446.8,3.5,12.8,36.6,74.3,77.4,55.72,0.235,0.222,0.217,71.1,21.4,8500,1.0,0.6,0,LANDSLIDE_OBSERVATION_CATALOG
26.64,1645.1,72.8,1,432.4,2099.9,3.0,9.1,38.2,116.0,238.3,87.0,0.288,0.351,0.294,77.4,15.3,8500,1.0,2.7,0,LANDSLIDE_OBSERVATION_CATALOG
11.64,1620.3,287.7,1,1399.8,227.5,3.0,15.6,47.7,110.9,226.2,83.18,0.282,0.341,0.289,76.6,15.5,8500,1.0,1.9,0,LANDSLIDE_OBSERVATION_CATALOG
48.48,1495.2,203.7,3,46.9,339.4,3.0,9.8,38.1,109.4,296.0,82.05,0.28,0.397,0.322,76.4,16.3,15000,3.0,13.8,0,LANDSLIDE_OBSERVATION_CATALOG
36.78,1555.5,42.7,2,658.1,32.4,3.0,27.3,27.3,190.9,510.7,143.18,0.384,0.52,0.425,88.6,15.9,8500,1.0,19.9,0,LANDSLIDE_OBSERVATION_CATALOG
11.4,325.7,68.4,0,481.9,69.9,3.0,20.6,67.3,114.9,270.3,86.18,0.287,0.376,0.31,77.2,23.9,8500,1.0,0.8,0,LANDSLIDE_OBSERVATION_CATALOG
30.08,1625.8,70.9,3,251.6,1239.7,3.0,10.5,43.3,129.7,263.7,97.27,0.306,0.371,0.307,79.5,15.4,8500,1.0,4.0,0,LANDSLIDE_OBSERVATION_CATALOG
20.21,1531.3,313.0,1,161.3,1123.6,3.0,7.8,32.9,103.1,181.3,77.32,0.272,0.305,0.267,75.5,16.0,8500,2.0,1.8,0,LANDSLIDE_OBSERVATION_CATALOG
20.33,2540.6,219.8,1,126.4,20.2,3.0,3.6,18.3,56.1,56.6,42.08,0.212,0.205,0.207,68.4,9.5,8500,2.0,1.7,0,LANDSLIDE_OBSERVATION_CATALOG
27.66,1776.7,126.8,2,1544.7,740.5,3.0,11.9,36.4,71.5,153.1,53.62,0.232,0.282,0.253,70.7,14.5,8500,1.0,1.5,0,LANDSLIDE_OBSERVATION_CATALOG
52.33,1968.2,204.4,3,72.0,20.6,3.0,33.0,137.7,403.0,673.0,302.25,0.55,0.52,0.48,99.0,13.2,8500,2.0,91.1,3,LANDSLIDE_OBSERVATION_CATALOG
31.35,2178.5,172.0,1,468.2,418.1,3.0,28.7,105.2,254.6,411.7,190.95,0.466,0.489,0.378,98.2,11.8,8500,1.0,9.8,0,LANDSLIDE_OBSERVATION_CATALOG
21.1,1536.5,274.4,6,61.4,104.9,3.5,28.9,99.5,192.9,495.3,144.68,0.387,0.52,0.418,88.9,16.0,8500,2.0,15.1,0,LANDSLIDE_OBSERVATION_CATALOG
0.02,2059.0,150.1,2,49.5,150.1,3.0,10.2,35.7,72.4,114.1,54.3,0.233,0.251,0.235,70.9,12.6,15000,3.0,1.0,0,LANDSLIDE_OBSERVATION_CATALOG
17.63,1958.8,211.5,3,592.1,613.1,3.0,1.8,7.6,7.6,7.6,5.7,0.15,0.166,0.184,61.1,13.3,8500,1.0,1.6,0,LANDSLIDE_OBSERVATION_CATALOG
23.74,1803.5,314.3,0,475.5,212.4,3.0,5.3,13.5,40.0,51.9,30.0,0.191,0.202,0.205,66.0,14.3,8500,1.0,0.7,0,LANDSLIDE_OBSERVATION_CATALOG
47.86,1508.2,38.1,3,274.9,257.9,3.0,12.6,21.0,70.0,112.4,52.5,0.23,0.25,0.234,70.5,16.2,8500,1.0,6.7,0,LANDSLIDE_OBSERVATION_CATALOG
22.16,1185.4,338.5,2,435.6,832.0,3.0,9.6,9.6,44.7,64.1,33.53,0.197,0.211,0.211,66.7,18.3,8500,1.0,1.4,0,LANDSLIDE_OBSERVATION_CATALOG
15.44,444.7,223.3,2,835.2,54.2,3.0,42.3,171.5,309.9,674.2,232.42,0.537,0.52,0.48,99.0,23.1,8500,1.0,10.3,0,LANDSLIDE_OBSERVATION_CATALOG
21.42,65.2,249.4,0,556.0,22.3,3.5,48.4,196.3,514.8,887.6,386.1,0.55,0.52,0.48,99.0,25.6,8500,1.0,24.5,0,LANDSLIDE_OBSERVATION_CATALOG
25.42,402.0,309.2,2,120.2,34.4,3.0,3.3,8.9,37.8,95.4,28.35,0.188,0.236,0.226,65.7,23.4,8500,2.0,1.9,0,LANDSLIDE_OBSERVATION_CATALOG
20.76,1521.9,148.0,1,727.1,47.1,3.5,10.4,34.7,78.0,136.5,58.5,0.24,0.269,0.246,71.7,16.1,8500,1.0,1.9,0,LANDSLIDE_OBSERVATION_CATALOG
50.19,2609.7,335.5,6,10.8,535.5,3.0,24.4,76.9,232.9,473.5,174.68,0.438,0.52,0.407,94.9,9.0,15000,3.0,64.4,2,LANDSLIDE_OBSERVATION_CATALOG
50.9,896.7,151.3,2,417.8,714.4,3.0,18.2,44.9,132.4,293.6,99.3,0.309,0.395,0.321,79.9,20.2,8500,1.0,11.3,0,LANDSLIDE_OBSERVATION_CATALOG
19.85,300.2,180.4,6,471.9,192.2,3.0,11.9,51.8,133.1,348.0,99.82,0.31,0.438,0.347,80.0,24.0,8500,1.0,7.2,0,LANDSLIDE_OBSERVATION_CATALOG
33.06,1110.4,139.6,0,367.9,1199.1,3.0,44.2,186.6,372.0,894.6,279.0,0.55,0.52,0.48,99.0,18.8,8500,1.0,49.5,1,LANDSLIDE_OBSERVATION_CATALOG
23.83,1109.9,266.7,1,99.1,1638.6,3.0,17.2,58.7,126.1,253.7,94.57,0.301,0.363,0.302,78.9,18.8,8500,2.0,3.5,0,LANDSLIDE_OBSERVATION_CATALOG
0.0,476.9,67.2,0,170.6,704.1,3.0,4.2,15.0,59.6,139.1,44.7,0.216,0.271,0.247,68.9,22.9,8500,2.0,0.5,0,LANDSLIDE_OBSERVATION_CATALOG
16.8,836.7,356.8,1,190.4,1132.7,3.0,23.1,73.2,186.0,348.8,139.5,0.378,0.439,0.347,87.9,20.6,8500,2.0,2.0,0,LANDSLIDE_OBSERVATION_CATALOG
49.1,1441.3,27.1,2,684.6,745.3,4.0,15.7,58.6,208.4,362.4,156.3,0.407,0.45,0.354,91.3,16.6,8500,1.0,20.7,0,LANDSLIDE_OBSERVATION_CATALOG
21.28,1794.0,201.1,2,715.4,1602.2,3.0,24.2,100.5,291.1,703.2,218.33,0.513,0.52,0.48,99.0,14.3,8500,1.0,9.4,0,LANDSLIDE_OBSERVATION_CATALOG
19.87,1365.4,133.8,4,489.1,1362.4,3.0,39.3,152.8,290.2,572.3,217.65,0.511,0.52,0.455,99.0,17.1,8500,1.0,14.8,0,LANDSLIDE_OBSERVATION_CATALOG
17.28,1881.4,149.3,0,585.9,529.4,4.0,6.9,10.6,10.6,10.6,7.95,0.154,0.168,0.185,61.6,13.8,8500,1.0,0.5,0,LANDSLIDE_OBSERVATION_CATALOG
7.51,2110.2,8.7,2,5.0,717.5,4.0,51.4,222.7,600.0,1200.0,450.0,0.55,0.52,0.48,99.0,12.3,15000,3.0,35.8,1,LANDSLIDE_OBSERVATION_CATALOG
14.46,1094.8,53.7,3,536.8,835.2,3.5,14.2,61.5,195.4,317.3,146.55,0.39,0.414,0.332,89.3,18.9,8500,1.0,5.1,0,LANDSLIDE_OBSERVATION_CATALOG
34.87,1645.2,169.8,0,83.5,12.2,3.0,1.6,1.6,4.6,27.6,3.45,0.146,0.182,0.193,60.7,15.3,8500,2.0,1.5,0,LANDSLIDE_OBSERVATION_CATALOG
30.06,907.7,4.3,1,315.9,387.4,3.0,8.4,31.4,92.6,139.2,69.45,0.259,0.271,0.247,73.9,20.1,8500,1.0,1.7,0,LANDSLIDE_OBSERVATION_CATALOG
50.66,1260.5,315.0,5,81.6,427.4,3.0,68.1,172.9,330.9,774.2,248.17,0.55,0.52,0.48,99.0,17.8,8500,2.0,85.3,3,LANDSLIDE_OBSERVATION_CATALOG
20.18,2475.1,212.4,2,15.4,262.8,3.0,11.6,59.4,141.0,330.0,105.75,0.32,0.424,0.338,81.2,9.9,15000,3.0,2.3,0,LANDSLIDE_OBSERVATION_CATALOG
25.67,631.6,284.4,2,465.2,451.7,4.0,15.0,56.1,175.5,339.6,131.62,0.365,0.432,0.343,86.3,21.9,8500,1.0,4.2,0,LANDSLIDE_OBSERVATION_CATALOG
29.53,2555.6,77.6,5,278.4,473.5,3.0,45.8,145.0,325.9,780.5,244.42,0.55,0.52,0.48,99.0,9.4,8500,1.0,39.9,1,LANDSLIDE_OBSERVATION_CATALOG
6.95,712.7,273.9,1,120.7,187.4,3.0,18.5,63.9,223.8,349.6,167.85,0.426,0.44,0.348,93.6,21.4,8500,2.0,1.5,0,LANDSLIDE_OBSERVATION_CATALOG
19.29,219.3,67.2,1,1049.9,900.6,3.0,6.4,20.9,35.0,56.1,26.25,0.185,0.205,0.207,65.2,24.6,8500,1.0,1.6,0,LANDSLIDE_OBSERVATION_CATALOG
0.0,644.2,153.6,1,11.2,807.7,3.0,16.3,40.2,97.4,224.7,73.05,0.265,0.34,0.288,74.6,21.8,15000,3.0,0.7,0,LANDSLIDE_OBSERVATION_CATALOG
11.89,352.3,44.6,0,106.0,70.4,3.5,10.4,23.1,75.0,204.5,56.25,0.236,0.324,0.278,71.2,23.7,8500,2.0,1.1,0,LANDSLIDE_OBSERVATION_CATALOG
