record_id,state,district,latitude,longitude,elevation_m,slope_deg,aspect_deg,soil_type,land_cover,distance_to_road_m,distance_to_river_m,rainfall_1h_mm,rainfall_6h_mm,rainfall_24h_mm,rainfall_3d_mm,rainfall_7d_mm,historical_landslide_count_5km,date,landslide_occurred,data_source,state_encoded,district_encoded,soil_type_encoded,land_cover_encoded
TG-002837,Meghalaya,South Garo Hills,25.44515,91.51483,1232.6,37.0,135.8,Rocky/Gravelly,Sparse Forest,267.7,825.3,42.3,133.7,383.5,806.2,1560.6,3,2021-12-31,1,DEMO DATA,3,34,3,6
TG-002775,Mizoram,Champhai,22.82098,93.01209,2123.0,47.27,324.1,Laterite,Built-up/Urban,199.1,428.6,13.8,44.1,133.6,281.4,481.0,4,2019-12-28,0,DEMO DATA,4,2,1,2
TG-011244,Meghalaya,West Garo Hills,25.46554,92.37616,1867.9,34.77,50.2,Silty Clay,Sparse Forest,817.3,438.0,63.0,227.5,445.8,760.1,1306.6,2,2020-07-30,1,DEMO DATA,3,42,5,6
TG-004645,Assam,Golaghat,26.746,90.61607,2001.9,24.27,56.2,Silty Clay,Agricultural Land,130.3,469.6,28.5,86.7,170.8,387.6,782.6,7,2019-04-26,0,DEMO DATA,1,11,5,0
TG-007234,Nagaland,Mokokchung,25.3517,95.07054,1423.9,31.75,157.1,Rocky/Gravelly,Sparse Forest,98.9,610.5,22.8,73.3,156.2,275.8,527.8,2,2016-02-08,0,DEMO DATA,5,24,3,6
TG-008556,Nagaland,Dimapur,26.19082,94.87225,1486.3,30.47,164.5,Silty Clay,Barren/Rocky,878.7,1132.9,17.3,56.0,123.0,335.6,493.5,2,2019-01-21,0,DEMO DATA,5,8,5,1
TG-006966,Manipur,Imphal East,24.41354,93.41096,326.4,19.24,310.4,Rocky/Gravelly,Dense Forest,356.6,80.1,21.6,66.2,118.7,212.7,340.0,1,2025-07-10,0,DEMO DATA,2,13,3,3
TG-008496,Nagaland,Dimapur,25.5708,94.47624,1764.3,23.17,21.1,Clay Loam,Agricultural Land,539.4,94.0,18.4,76.7,200.4,475.1,670.1,3,2019-10-05,0,DEMO DATA,5,8,0,0
TG-002838,Arunachal Pradesh,Tawang,26.7568,92.37553,544.8,28.16,52.2,Clay Loam,Agricultural Land,11.3,686.8,8.4,24.7,77.6,207.0,401.7,4,2019-12-13,0,DEMO DATA,0,38,0,0
TG-005960,Mizoram,Lunglei,22.9661,92.41944,1517.2,24.94,303.9,Sandy Loam,Agricultural Land,89.6,344.9,3.8,22.6,60.8,147.1,170.3,3,2024-08-13,0,DEMO DATA,4,23,4,0
TG-001212,Sikkim,South Sikkim,27.64667,88.41265,1795.8,29.58,147.9,Sandy Loam,Grassland,449.9,71.5,26.5,70.2,131.8,239.4,478.8,3,2015-01-28,0,DEMO DATA,6,35,4,4
TG-003986,Nagaland,Zunheboto,25.80574,95.16187,2014.6,25.87,128.2,Rocky/Gravelly,Barren/Rocky,811.3,80.6,6.8,23.6,62.5,184.5,288.1,4,2015-03-10,0,DEMO DATA,5,49,3,1
TG-008289,Sikkim,East Sikkim,27.51106,88.62113,1705.1,35.61,194.6,Sandy Loam,Agricultural Land,624.2,1607.4,18.3,93.9,220.6,399.3,761.1,4,2023-06-30,0,DEMO DATA,6,10,4,0
TG-003456,Assam,Kamrup,27.80895,90.4281,20.0,11.62,176.9,Rocky/Gravelly,Sparse Forest,30.9,272.5,7.5,24.9,34.6,127.0,214.6,0,2024-05-01,0,DEMO DATA,1,16,3,6
TG-008359,Nagaland,Kohima,25.8538,93.89336,1376.6,16.21,149.7,Laterite,Sparse Forest,472.1,2431.7,27.0,99.1,223.3,436.4,833.2,2,2018-11-28,0,DEMO DATA,5,19,1,6
TG-007881,Nagaland,Wokha,26.12065,95.2954,2091.5,25.76,169.5,Sandy Loam,Sparse Forest,202.2,69.7,11.1,30.3,57.1,123.9,269.3,2,2018-05-03,0,DEMO DATA,5,48,4,6
TG-004986,Assam,Nagaon,25.94771,91.43443,490.7,0.0,45.1,Sandy Loam,Grassland,234.9,757.1,9.2,35.7,51.8,72.7,96.1,0,2017-11-08,0,DEMO DATA,1,25,4,4
TG-009664,Mizoram,Lunglei,23.31184,92.5856,1648.6,34.65,284.9,Laterite,Dense Forest,360.0,845.1,22.9,91.8,208.3,516.6,876.8,4,2024-01-06,0,DEMO DATA,4,23,1,3
TG-004031,Nagaland,Zunheboto,26.50197,94.94582,2771.3,56.47,312.7,Rocky/Gravelly,Grassland,45.2,191.3,36.8,120.2,340.1,656.4,1294.5,5,2025-10-25,1,DEMO DATA,5,49,3,4
TG-006259,Arunachal Pradesh,Lower Subansiri,28.86604,96.50067,1736.0,19.44,25.1,Laterite,Grassland,190.0,271.2,40.2,149.8,462.0,845.1,1603.9,1,2022-03-23,0,DEMO DATA,0,22,1,4
TG-010320,Mizoram,Champhai,22.82968,92.6628,1215.3,43.72,5.7,Clay Loam,Agricultural Land,10.1,1609.2,2.1,0.0,0.0,0.0,0.0,2,2019-12-01,0,DEMO DATA,4,2,0,0
TG-006596,Arunachal Pradesh,Changlang,27.84642,96.42292,416.0,17.97,252.3,Rocky/Gravelly,Sparse Forest,924.3,959.2,11.0,42.6,131.4,287.3,466.0,2,2015-06-06,1,DEMO DATA,0,3,3,6
TG-001968,Meghalaya,East Khasi Hills,25.01265,90.24465,755.3,22.68,102.7,Clay Loam,Grassland,1018.7,360.1,53.6,149.3,427.1,779.4,1391.5,6,2019-03-18,0,DEMO DATA,3,9,0,4
TG-011502,Tripura,Khowai,24.14037,91.10912,2464.6,5.79,112.9,Sandy Loam,Sparse Forest,212.7,693.9,40.1,170.0,454.8,932.7,1852.3,1,2020-02-03,1,DEMO DATA,7,18,4,6
TG-002119,Assam,Kamrup,26.43687,90.78204,1692.2,6.61,337.0,Loam,Grassland,149.7,294.7,18.3,48.6,140.5,340.3,531.8,0,2021-09-16,0,DEMO DATA,1,16,2,4
TG-004374,Meghalaya,Ri Bhoi,25.91683,90.75248,1241.9,37.45,257.7,Laterite,Agricultural Land,448.8,556.9,11.7,35.3,108.7,261.2,395.1,4,2021-03-10,0,DEMO DATA,3,28,1,0
TG-000568,Arunachal Pradesh,Papum Pare,27.70389,96.66089,1337.5,27.74,188.1,Sandy Loam,Dense Forest,332.1,701.2,7.5,26.1,57.8,113.8,144.1,1,2025-11-28,0,DEMO DATA,0,27,4,3
TG-002060,Mizoram,Aizawl,22.52515,92.54233,631.7,10.5,298.9,Silty Clay,Sparse Forest,761.3,105.2,3.3,12.0,39.2,79.2,96.4,2,2022-06-25,0,DEMO DATA,4,0,5,6
TG-004260,Sikkim,South Sikkim,27.7835,88.38878,1854.5,45.44,295.6,Rocky/Gravelly,Dense Forest,587.1,449.7,21.7,63.6,168.1,400.3,611.2,5,2024-04-29,0,DEMO DATA,6,35,3,3
TG-000501,Meghalaya,East Khasi Hills,25.65875,92.19451,1298.1,28.8,92.1,Sandy Loam,Sparse Forest,603.2,186.9,44.3,133.6,346.3,826.6,1432.8,8,2022-03-08,1,DEMO DATA,3,9,4,6
TG-010706,Arunachal Pradesh,Lohit,28.29389,91.92478,2038.4,29.84,24.2,Loam,Agricultural Land,269.2,337.9,62.9,182.4,524.3,1200.0,1916.4,5,2020-03-08,1,DEMO DATA,0,21,2,0
TG-001345,Manipur,Senapati,25.09717,93.83179,586.8,35.37,275.0,Sandy Loam,Shrubland,294.9,238.9,34.7,81.9,199.7,419.5,847.8,1,2023-11-21,0,DEMO DATA,2,30,4,5
TG-011993,Assam,Sonitpur,25.01105,94.56116,771.6,10.11,2.5,Silty Clay,Sparse Forest,13.1,417.3,54.8,220.4,408.0,720.2,1302.9,0,2017-10-06,0,DEMO DATA,1,33,5,6
TG-004128,Assam,Golaghat,25.01411,91.9303,1009.7,10.44,248.3,Silty Clay,Agricultural Land,133.6,218.6,2.6,20.4,36.4,113.7,231.7,2,2022-07-01,0,DEMO DATA,1,11,5,0
TG-000817,Sikkim,West Sikkim,27.77099,88.55313,2754.4,21.66,10.5,Rocky/Gravelly,Dense Forest,301.4,318.6,16.7,50.4,137.6,349.8,597.1,2,2020-10-11,0,DEMO DATA,6,46,3,3
TG-001450,Manipur,Imphal West,25.03529,93.92339,878.9,53.07,294.2,Clay Loam,Agricultural Land,247.0,678.9,27.5,102.4,235.7,566.4,739.4,4,2017-08-23,0,DEMO DATA,2,14,0,0
TG-009621,Mizoram,Kolasib,23.85135,93.15356,1314.0,45.45,150.7,Sandy Loam,Dense Forest,1811.3,768.0,23.5,101.3,307.0,519.6,890.7,4,2019-06-09,1,DEMO DATA,4,20,4,3
TG-007412,Tripura,South Tripura,23.22267,91.59312,504.3,23.19,187.4,Sandy Loam,Barren/Rocky,120.3,1179.4,18.6,70.5,200.2,538.4,759.7,0,2017-03-26,0,DEMO DATA,7,36,4,1
TG-011449,Mizoram,Saiha,22.20277,92.21884,1540.4,18.91,287.7,Sandy Loam,Agricultural Land,197.4,148.6,20.5,54.7,180.3,481.5,663.9,3,2022-05-13,0,DEMO DATA,4,29,4,0
TG-000483,Arunachal Pradesh,Tawang,26.75097,91.74161,1966.0,52.22,287.3,Sandy Loam,Built-up/Urban,593.0,166.0,47.4,142.4,427.5,837.8,1168.4,1,2019-05-28,1,DEMO DATA,0,38,4,2
TG-011173,Tripura,Khowai,23.67975,91.88778,678.6,0.0,197.3,Silty Clay,Sparse Forest,66.1,28.5,13.9,57.4,128.6,284.6,383.5,0,2023-02-21,0,DEMO DATA,7,18,5,6
TG-006469,Assam,Dibrugarh,25.42204,93.49327,1003.7,20.82,106.1,Loam,Dense Forest,610.8,407.6,14.2,36.1,74.4,130.1,274.2,1,2021-08-03,0,DEMO DATA,1,6,2,3
TG-005350,Manipur,Imphal East,24.39435,93.15031,1589.4,17.84,218.3,Sandy Loam,Agricultural Land,1484.9,61.5,10.5,46.5,135.0,337.3,529.4,4,2025-10-30,0,DEMO DATA,2,13,4,0
TG-001163,Arunachal Pradesh,Upper Siang,27.21117,92.37063,2043.7,15.15,34.2,Silty Clay,Grassland,106.6,9.8,32.3,117.3,249.5,617.4,1233.7,1,2016-03-13,0,DEMO DATA,0,41,5,4
TG-010159,Nagaland,Dimapur,26.32455,94.12943,2647.8,7.86,343.0,Silty Clay,Dense Forest,174.7,1208.2,8.2,22.2,60.6,119.9,162.7,0,2019-04-01,0,DEMO DATA,5,8,5,3
TG-002938,Meghalaya,Ri Bhoi,25.54875,90.98844,20.0,26.56,323.5,Laterite,Agricultural Land,208.3,153.1,10.8,27.1,107.5,281.9,486.4,2,2019-05-10,0,DEMO DATA,3,28,1,0
TG-002216,Meghalaya,Jaintia Hills,25.41507,91.84736,506.4,27.53,272.9,Sandy Loam,Agricultural Land,356.2,441.1,22.0,91.0,213.4,602.9,1092.7,2,2024-02-17,0,DEMO DATA,3,15,4,0
TG-008431,Sikkim,South Sikkim,27.24912,88.18464,1322.1,28.83,237.7,Silty Clay,Shrubland,58.4,227.2,39.8,145.0,416.4,912.9,1470.7,4,2024-12-17,0,DEMO DATA,6,35,5,5
TG-001973,Meghalaya,Jaintia Hills,25.99215,91.56233,212.1,22.06,107.9,Loam,Dense Forest,448.9,1313.7,25.0,78.1,218.2,574.9,995.7,8,2025-08-23,0,DEMO DATA,3,15,2,3
TG-003254,Mizoram,Lunglei,24.3487,92.91759,1942.4,31.15,71.7,Loam,Sparse Forest,25.2,345.8,42.5,109.1,278.6,653.1,1173.4,3,2015-11-22,0,DEMO DATA,4,23,2,6
TG-004861,Manipur,Imphal East,24.9563,93.91509,2486.7,12.6,307.0,Sandy Loam,Sparse Forest,896.5,364.2,7.7,23.3,58.4,148.4,238.5,3,2024-05-05,0,DEMO DATA,2,13,4,6
TG-000124,Meghalaya,West Garo Hills,25.2284,91.48941,1645.2,34.87,169.8,Rocky/Gravelly,Dense Forest,83.5,12.2,1.6,0.0,4.6,27.6,54.4,0,2018-07-15,0,DEMO DATA,3,42,3,3
TG-006015,Meghalaya,Jaintia Hills,26.03709,90.17184,3123.5,45.21,6.3,Laterite,Dense Forest,231.1,247.8,54.1,183.4,553.4,1200.0,2037.3,8,2015-05-13,1,DEMO DATA,3,15,1,3
TG-000786,Assam,Sonitpur,25.68981,93.20219,955.45,19.44,96.8,Silty Clay,Sparse Forest,172.4,39.7,15.9,60.0,101.1,227.3,402.2,0,2016-02-21,0,DEMO DATA,1,33,5,6
TG-000917,Meghalaya,West Garo Hills,25.85871,90.26719,20.0,37.77,41.8,Rocky/Gravelly,Agricultural Land,464.6,480.2,38.4,158.1,412.2,729.8,944.7,0,2019-06-22,1,DEMO DATA,3,42,3,0
TG-000591,Assam,Nagaon,27.21819,94.11945,919.0,6.62,133.3,Silty Clay,Agricultural Land,590.1,2273.0,13.7,45.6,91.9,185.7,365.2,1,2020-08-19,0,DEMO DATA,1,25,5,0
TG-010013,Assam,Cachar,25.21019,91.7335,809.7,7.6,203.8,Rocky/Gravelly,Dense Forest,1437.2,531.2,9.6,40.2,121.8,182.6,260.3,0,2021-02-04,0,DEMO DATA,1,1,3,3
TG-002961,Sikkim,South Sikkim,27.84004,88.05397,1491.0,41.26,7.1,Sandy Loam,Sparse Forest,673.7,38.7,42.1,129.4,262.0,638.0,1162.5,3,2025-12-27,1,DEMO DATA,6,35,4,6
TG-000898,Mizoram,Kolasib,23.51383,92.24832,1333.6,25.68,250.4,Silty Clay,Dense Forest,272.1,172.6,7.5,20.2,30.4,73.8,149.0,1,2016-03-31,0,DEMO DATA,4,20,5,3
TG-004770,Arunachal Pradesh,Tawang,28.71188,95.8855,871.6,24.45,93.0,Sandy Loam,Grassland,1294.9,963.6,12.6,60.2,118.1,226.5,336.2,4,2015-04-22,0,DEMO DATA,0,38,4,4
TG-000229,Manipur,Senapati,24.61117,94.31701,1859.1,10.21,73.5,Loam,Shrubland,229.7,167.3,27.8,95.0,217.3,407.9,658.3,2,2025-07-12,0,DEMO DATA,2,30,2,5
TG-005006,Mizoram,Lunglei,23.22459,93.10623,1252.4,0.0,56.3,Loam,Grassland,1009.9,16.7,22.7,69.4,186.2,254.9,450.7,3,2020-11-04,0,DEMO DATA,4,23,2,4
TG-010595,Nagaland,Mokokchung,25.51871,95.51409,1968.6,22.3,278.5,Laterite,Sparse Forest,647.2,158.6,4.0,18.0,49.7,102.3,139.6,1,2023-06-28,0,DEMO DATA,5,24,1,6
TG-000657,Meghalaya,South Garo Hills,25.263,91.36089,582.5,17.84,53.6,Silty Clay,Sparse Forest,398.0,5.5,64.6,294.3,600.0,1200.0,1731.3,0,2022-01-12,0,DEMO DATA,3,34,5,6
TG-010639,Assam,Dima Hasao,26.84836,95.99783,1530.9,24.15,19.1,Clay Loam,Grassland,325.9,1622.8,10.3,35.1,111.0,193.4,214.5,1,2022-12-10,0,DEMO DATA,1,7,0,4
TG-002637,Arunachal Pradesh,Papum Pare,28.8454,96.69557,20.0,38.22,273.2,Silty Clay,Dense Forest,7.7,157.4,22.7,55.6,143.2,302.6,555.5,3,2018-07-13,0,DEMO DATA,0,27,5,3
TG-004623,Arunachal Pradesh,West Siang,27.99536,96.74026,2134.7,25.42,284.6,Rocky/Gravelly,Shrubland,2871.0,356.2,17.4,78.1,198.6,427.0,592.8,1,2023-07-15,0,DEMO DATA,0,45,3,5
TG-002778,Assam,Cachar,26.2904,91.90932,691.1,11.62,82.8,Laterite,Dense Forest,5.0,41.6,7.8,37.7,72.3,135.0,197.9,0,2019-10-02,0,DEMO DATA,1,1,1,3
TG-007047,Assam,Karbi Anglong,27.79881,92.85764,1664.3,0.0,152.7,Silty Clay,Sparse Forest,803.0,269.9,0.6,9.2,31.2,76.2,162.1,1,2022-06-18,0,DEMO DATA,1,17,5,6
TG-008594,Manipur,Imphal West,24.38116,93.71214,1437.2,31.33,254.1,Silty Clay,Sparse Forest,1039.8,38.1,17.8,62.3,93.6,211.6,339.5,2,2016-05-02,0,DEMO DATA,2,14,5,6
TG-002499,Nagaland,Zunheboto,26.47677,95.6295,3004.4,16.16,190.7,Laterite,Dense Forest,177.6,794.9,33.3,77.0,188.9,434.3,681.4,3,2017-04-19,0,DEMO DATA,5,49,1,3
TG-005087,Nagaland,Kohima,26.63333,94.76308,20.0,55.83,68.0,Clay Loam,Agricultural Land,66.9,394.1,14.3,43.4,80.6,187.6,309.2,4,2016-11-07,0,DEMO DATA,5,19,0,0
TG-000803,Assam,Kamrup,25.67684,93.61442,588.0,5.83,42.8,Sandy Loam,Grassland,678.6,774.1,19.9,63.0,145.4,226.6,315.2,0,2024-03-20,0,DEMO DATA,1,16,4,4
TG-001239,Mizoram,Lunglei,23.9488,93.28872,1571.5,13.79,65.6,Loam,Sparse Forest,719.1,207.5,12.7,50.3,155.5,254.2,476.6,3,2022-11-04,0,DEMO DATA,4,23,2,6
TG-009841,Manipur,Tamenglong,24.78266,93.78315,1451.7,9.92,339.9,Loam,Barren/Rocky,426.1,186.6,17.7,71.2,143.0,321.6,487.4,1,2017-05-30,0,DEMO DATA,2,37,2,1
TG-009409,Tripura,West Tripura,23.26743,91.77451,763.4,10.07,183.9,Loam,Agricultural Land,319.5,400.45000000000005,7.9,29.8,70.1,155.7,230.4,2,2015-12-02,0,DEMO DATA,7,47,2,0
TG-004315,Assam,Dibrugarh,26.06044,94.37353,539.5,14.65,292.6,Silty Clay,Agricultural Land,65.2,1523.0,6.6,34.3,133.6,264.6,438.2,0,2015-11-18,0,DEMO DATA,1,6,5,0
TG-005930,Mizoram,Lunglei,24.04068,92.33213,1942.3,21.67,10.5,Rocky/Gravelly,Barren/Rocky,377.8,359.2,9.1,33.3,64.6,175.9,295.7,1,2018-07-13,0,DEMO DATA,4,23,3,1
TG-009874,Meghalaya,South Garo Hills,25.98501,91.7587,1987.5,9.57,9.6,Laterite,Built-up/Urban,445.4,1885.1,14.9,57.1,155.9,226.8,400.3,0,2024-03-02,0,DEMO DATA,3,34,1,2
TG-006827,Meghalaya,Jaintia Hills,25.15918,92.30126,1685.6,52.49,219.4,Laterite,Dense Forest,243.1,52.4,1.9,8.8,7.2,17.2,110.2,1,2020-11-01,0,DEMO DATA,3,15,1,3
TG-003513,Manipur,Senapati,24.74426,93.38038,1780.9,25.59,107.6,Clay Loam,Agricultural Land,130.6,390.1,0.3,0.0,1.8,0.5,0.0,2,2018-01-17,0,DEMO DATA,2,30,0,0
TG-004217,Sikkim,North Sikkim,27.67666,88.01203,2661.9,29.67,328.7,Loam,Sparse Forest,1098.9,317.6,2.5,11.1,46.5,61.9,40.9,0,2016-02-01,0,DEMO DATA,6,26,2,6
TG-004137,Mizoram,Champhai,23.49951,92.95144,561.0,44.12,333.8,Laterite,Dense Forest,1039.4,67.1,32.3,96.4,271.6,716.0,1436.5,2,2019-01-08,0,DEMO DATA,4,2,1,3
TG-000926,Mizoram,Aizawl,23.50491,93.06947,908.4,47.94,317.4,Loam,Agricultural Land,404.2,430.0,26.1,80.0,274.4,473.8,957.0,3,2019-11-19,0,DEMO DATA,4,0,2,0
TG-000358,Manipur,Tamenglong,24.86823,94.67167,935.0,27.46,38.0,Silty Clay,Sparse Forest,375.9,303.7,11.9,44.8,124.0,284.0,442.9,2,2021-10-16,0,DEMO DATA,2,37,5,6
TG-002988,Arunachal Pradesh,Lower Subansiri,29.15926,97.28323,1462.3,22.75,106.5,Sandy Loam,Sparse Forest,544.3,829.1,12.4,43.6,110.7,222.0,318.4,1,2019-04-10,0,DEMO DATA,0,22,4,6
TG-002498,Assam,Dima Hasao,27.43794,93.88196,971.7,3.98,224.2,Rocky/Gravelly,Agricultural Land,139.3,605.4,34.2,95.4,235.6,555.9,757.4,4,2023-11-20,0,DEMO DATA,1,7,3,0
TG-007784,Arunachal Pradesh,West Siang,27.45987,95.96272,2320.3,32.58,226.0,Laterite,Sparse Forest,115.2,225.6,36.8,132.4,344.4,861.9,1683.4,3,2015-10-29,1,DEMO DATA,0,45,1,6
TG-004440,Mizoram,Serchhip,23.93323,92.40165,553.4,30.06,231.1,Laterite,Dense Forest,690.9,357.5,17.4,57.9,114.3,216.2,285.7,2,2017-04-28,0,DEMO DATA,4,32,1,3
TG-008141,Sikkim,North Sikkim,27.29701,88.76146,3217.2,50.87,236.7,Sandy Loam,Agricultural Land,237.4,1666.1,6.8,24.4,45.9,117.6,177.7,4,2025-03-01,0,DEMO DATA,6,26,4,0
TG-006778,Assam,Dibrugarh,25.70177,90.94014,912.6,22.45,69.7,Sandy Loam,Agricultural Land,334.0,2737.0,5.3,10.2,0.7,5.4,5.9,1,2024-09-20,0,DEMO DATA,1,6,4,0
