record_id,state,district,latitude,longitude,elevation_m,slope_deg,aspect_deg,soil_type,land_cover,distance_to_road_m,distance_to_river_m,rainfall_1h_mm,rainfall_6h_mm,rainfall_24h_mm,rainfall_3d_mm,rainfall_7d_mm,historical_landslide_count_5km,date,landslide_probability_true,landslide_occurred,data_source
TG-000018,Arunachal Pradesh,Changlang,27.27432,92.42953,1657.7,35.85,327.8,Clay Loam,Dense Forest,5,101.9,1.8,0,11.2,33.4,112.8,0,21-03-2022,0.0133,0,DEMO DATA
TG-000019,Assam,Kamrup,26.01722,94.39469,1024.5,1.95,55.9,Sandy Loam,Grassland,115,890.7,24.6,94.9,259.8,599.7,828.1,0,20-02-2019,0.0279,0,DEMO DATA
TG-000020,Manipur,Tamenglong,25.28975,94.14554,1590.1,26.34,340.6,Loam,Agricultural Land,124.1,315.5,28.5,102.9,284.8,497.8,719.5,3,25-04-2018,0.1313,0,DEMO DATA
TG-000021,Assam,Dibrugarh,25.30476,89.92718,754.8,,81.2,Loam,Agricultural Land,23.7,902.6,11.1,32.2,65.5,210.8,407,5,16-09-2020,0.0662,0,DEMO DATA
TG-000022,Meghalaya,South Garo Hills,25.12744,90.01618,2359.7,32.4,101,Loam,Dense Forest,244.8,375.4,16.3,79.4,149.2,182.4,456.4,3,04-09-2018,0.0366,0,DEMO DATA
TG-000023,Manipur,Tamenglong,23.82038,93.3763,1601.3,30.02,59.7,Loam,Barren/Rocky,238.5,211.8,33.7,90.8,241.9,400,792.2,2,13-12-2025,0.1423,0,DEMO DATA
TG-000024,Meghalaya,Jaintia Hills,25.09253,90.531,1021.6,30.97,233.7,Silty Clay,Barren/Rocky,38.8,148.9,35.3,152.2,468.3,978,1632.1,3,16-05-2022,0.8165,1,DEMO DATA
TG-000025,Manipur,Tamenglong,24.99858,93.31951,1990.1,30.87,8.9,Laterite,Built-up/Urban,310.8,175.3,3.3,2.8,0,31.2,71.7,4,30-07-2020,0.0396,0,DEMO DATA
TG-000026,Manipur,Senapati,24.8509,94.17738,2487.8,7.33,103.8,Rocky/Gravelly,Grassland,294.8,345.2,4,20.4,23.4,32.6,19.2,3,26-01-2023,0.0127,0,DEMO DATA
TG-000027,Manipur,Tamenglong,24.00764,94.21555,363.4,27.36,311.6,Sandy Loam,Grassland,369.5,5,34.6,89.1,251.8,493.7,832.3,3,21-10-2022,0.1363,0,DEMO DATA
TG-000028,Manipur,Ukhrul,24.32217,94.5958,580.6,28.95,123.1,Silty Clay,Barren/Rocky,373.6,120.3,20.8,67.1,151.8,314,444.4,1,22-11-2022,0.0709,0,DEMO DATA
TG-000029,Manipur,Tamenglong,24.45226,93.75669,175.6,21.79,194.7,Loam,Sparse Forest,464.8,218.4,2.6,0,4.1,0,14,2,03-10-2017,0.0099,0,DEMO DATA
TG-000030,Nagaland,Zunheboto,25.9891,94.49064,2356.2,18.74,293.3,Rocky/Gravelly,Barren/Rocky,286.9,381.8,39.1,175.1,435.5,1094.2,1361.2,1,04-12-2024,0.4134,0,DEMO DATA
TG-000031,Meghalaya,West Garo Hills,25.05606,90.1348,1560.1,40.59,251.3,Clay Loam,Dense Forest,39.2,343.8,33.9,84.1,148.4,271,420.1,2,28-07-2021,0.0573,0,DEMO DATA
TG-000032,Meghalaya,West Khasi Hills,25.75158,90.48476,1797.8,37.21,17.5,Silty Clay,Grassland,57.2,52.7,18.4,52.5,72.5,186.1,275.2,1,25-01-2020,0.0425,0,DEMO DATA
TG-000033,Sikkim,North Sikkim,27.19529,88.69564,1054.8,30.14,330.8,Loam,Sparse Forest,302.1,293.3,7.7,35,83.1,175.3,160.3,0,21-09-2022,0.0168,0,DEMO DATA
TG-000034,Nagaland,Kohima,26.47456,95.14645,2431.5,28.06,213.8,Clay Loam,Dense Forest,432.5,106.3,15.4,37.9,134.3,238.2,448.3,1,21-05-2016,0.0268,0,DEMO DATA
TG-000035,Arunachal Pradesh,Lower Subansiri,27.42531,95.449,269.3,24.53,214.5,Loam,Dense Forest,81.7,49.4,7.3,27.2,93,188.2,308.5,0,22-05-2015,0.0123,0,DEMO DATA
TG-000036,Meghalaya,West Garo Hills,25.44876,90.08222,1818,23.18,245.7,,Shrubland,283.7,65.5,7.3,29.3,66.4,88.7,226.4,0,23-08-2016,0.0154,0,DEMO DATA
TG-000037,Sikkim,North Sikkim,27.95772,88.08988,2679.2,52.05,8.3,Laterite,Shrubland,74.9,230.6,16.1,,188,404.8,695.2,2,27-08-2018,0.2655,0,DEMO DATA
TG-000038,Mizoram,Aizawl,22.78264,93.44137,872.6,9.69,271.3,Loam,Dense Forest,26.2,183.4,11.5,36.9,102,182.5,251,0,09-09-2024,0.0064,0,DEMO DATA
TG-000039,Nagaland,Dimapur,26.82296,95.76142,702.2,10.94,25.9,Laterite,Dense Forest,253.5,220.7,7.1,20.4,57,103,93.8,0,21-03-2016,0.0069,0,DEMO DATA
TG-000040,Nagaland,Zunheboto,25.57226,95.65385,2922.2,22.29,36.1,Silty Clay,Built-up/Urban,58.2,449.7,21.9,95.2,273.6,617,895.1,5,28-11-2017,0.2182,0,DEMO DATA
TG-000041,Meghalaya,West Garo Hills,25.14493,90.17699,1913.8,41.98,343.2,Silty Clay,Dense Forest,239.1,188.5,19.9,56.2,133.9,283.6,487.8,4,12-02-2024,0.0904,0,DEMO DATA
TG-000042,Assam,Dibrugarh,24.29041,91.85714,621.2,38.92,270.3,Loam,Dense Forest,617.2,658.5,12.8,55.6,118.7,198.2,354.4,3,24-09-2023,0.0388,0,DEMO DATA
TG-000043,Mizoram,Kolasib,23.12924,93.43508,,29.75,244.1,Loam,Built-up/Urban,31.8,433.9,20.5,89.3,256.4,698,1263.9,6,29-08-2022,0.3571,1,DEMO DATA
TG-000044,Manipur,Churachandpur,24.03903,93.1651,1829.1,17.5,238.6,Clay Loam,Sparse Forest,99,745.3,2.5,10,16.8,40.2,94.3,3,21-03-2015,0.0138,0,DEMO DATA
TG-000045,Assam,Karbi Anglong,25.31787,95.84961,1101.9,6,8.4,Loam,Sparse Forest,838.1,1051.3,8.8,29.3,85.6,172,231.5,5,27-02-2016,0.0143,0,DEMO DATA
TG-000046,Manipur,Churachandpur,24.25643,94.16067,1647.8,23.42,210.9,Silty Clay,Dense Forest,1233.6,551.2,7.7,28.1,82.6,168.2,200.8,0,05-07-2019,0.0111,0,DEMO DATA
TG-000047,Arunachal Pradesh,Tawang,28.33507,97.01082,2524.7,28.93,49.7,Silty Clay,Barren/Rocky,291.1,1591.3,11,50.9,113,257.2,425.6,2,08-07-2022,0.0627,0,DEMO DATA
TG-000048,Tripura,South Tripura,23.40932,91.65345,1509.9,22.18,242,Rocky/Gravelly,Barren/Rocky,523.3,710.8,31.8,125.1,307.6,538.4,721.7,1,20-11-2018,0.1423,0,DEMO DATA
TG-000049,Arunachal Pradesh,West Kameng,27.82169,96.09282,1391.1,22.76,296.3,Sandy Loam,Dense Forest,136.5,3038,7,39.9,113.2,211.3,349.4,1,12-07-2019,0.0136,0,DEMO DATA
TG-000050,Assam,Dima Hasao,26.95567,90.44914,1291.2,7.39,63.1,Sandy Loam,Sparse Forest,405.9,355.7,23,,309.9,555.2,773.8,3,20-01-2024,0.0591,0,DEMO DATA
TG-000051,Arunachal Pradesh,West Siang,28.28436,94.41991,1438.2,14.03,272.8,Sandy Loam,Barren/Rocky,174.5,447.5,20.1,69.8,201.2,287.6,568.7,2,17-02-2024,0.047,0,DEMO DATA
TG-000052,Tripura,Sepahijala,22.99518,91.35821,2452.3,0.26,244.6,Sandy Loam,Dense Forest,70.6,580.7,18.2,71.3,151.1,303.1,504,2,10-05-2017,0.0109,0,DEMO DATA
TG-000053,Arunachal Pradesh,Tawang,28.33479,92.30742,2447.5,25.47,295.1,Sandy Loam,Agricultural Land,554.8,567.6,9.5,,91.5,134.5,223.8,1,14-03-2022,0.0214,0,DEMO DATA
TG-000054,Assam,Karbi Anglong,24.49248,95.15671,259.1,32.2,147.1,Silty Clay,Agricultural Land,246.6,725.1,12.2,53.7,135.9,277.1,425.8,1,30-09-2019,0.0521,0,DEMO DATA
TG-000055,Nagaland,Tuensang,25.58617,94.70668,1445.3,23.61,297.6,Silty Clay,Built-up/Urban,39.5,765.5,40,134.3,350.9,615.5,1033.9,4,30-03-2021,0.2516,0,DEMO DATA
TG-000056,Assam,Golaghat,27.4393,92.05028,1536.9,14.04,57.8,Silty Clay,Agricultural Land,213,1034.4,2.9,0.7,0,18.8,0,1,10-07-2023,0.0085,0,DEMO DATA
TG-000057,Assam,Dima Hasao,24.54992,94.70693,487.4,16.85,109.4,Silty Clay,Built-up/Urban,13.2,166.9,3.3,4.8,0,24.2,0,0,25-04-2021,0.0095,0,DEMO DATA
TG-000058,Assam,Dima Hasao,24.46788,95.66811,1149.1,16.94,350.8,Clay Loam,Agricultural Land,199.1,1007.1,7,13.8,78.7,110.8,163.1,0,21-11-2015,0.0122,0,DEMO DATA
TG-000059,Tripura,South Tripura,23.08801,91.17179,2419.1,20.59,192.6,Laterite,Built-up/Urban,847.7,558,9.8,50.4,109.7,314.5,638.2,4,24-02-2025,0.0649,0,DEMO DATA
TG-000060,Meghalaya,West Garo Hills,25.59785,92.49676,2631.5,42.71,173.9,Silty Clay,Sparse Forest,225.6,641.9,49.3,193,600,992.7,1508,4,08-01-2020,0.9899,1,DEMO DATA
TG-000061,Arunachal Pradesh,Papum Pare,26.77732,92.73172,2006.3,29.07,193.4,Sandy Loam,Agricultural Land,224.3,1067.7,60,274.8,562.8,1171.3,1824.1,2,15-01-2017,0.7913,1,DEMO DATA
TG-000062,Mizoram,Kolasib,23.03038,92.49724,2018.3,35.95,337.2,Rocky/Gravelly,Dense Forest,924.5,346.1,15,57.3,131.5,184.5,263.5,0,24-01-2017,0.0294,0,DEMO DATA
TG-000063,Tripura,West Tripura,24.33481,91.67067,852.1,21.12,233.3,Silty Clay,Barren/Rocky,359.1,530.2,54,175.3,469.6,937.1,1752.6,4,03-04-2019,0.5516,1,DEMO DATA
TG-000064,Mizoram,Lunglei,23.8429,93.36309,1446,52.15,344.2,Rocky/Gravelly,Dense Forest,37.8,397.5,17.5,61.9,121.9,217.4,328.6,2,12-09-2016,0.0902,0,DEMO DATA
TG-000065,Meghalaya,West Khasi Hills,25.82279,92.24522,773,21.2,86.7,Rocky/Gravelly,Sparse Forest,69.3,167,30.7,138.8,303.9,642,933.2,7,26-02-2024,0.2996,0,DEMO DATA
TG-000066,Nagaland,Tuensang,26.02968,93.50289,1360.7,0,178,Silty Clay,Agricultural Land,755.5,2331.4,51.4,196.4,600,1200,1893.2,3,25-06-2019,0.37,0,DEMO DATA
TG-000067,Assam,Dima Hasao,24.84171,90.06506,552.8,7.61,300.3,Clay Loam,Grassland,56.3,206.7,24.7,108.1,280,498.1,990.3,2,13-07-2023,0.0613,0,DEMO DATA
TG-000068,Nagaland,Zunheboto,25.88097,95.38781,596.3,25.35,205.6,Silty Clay,Dense Forest,36.9,424.3,21.8,58.9,150.8,259.5,368,3,07-12-2025,0.0388,0,DEMO DATA
TG-000069,Manipur,Imphal West,24.26716,94.31367,1321.5,35.59,168.6,Laterite,Dense Forest,158.9,330,19.3,80.2,170.5,318.1,645,2,24-10-2017,0.0708,0,DEMO DATA
TG-000070,Arunachal Pradesh,Tawang,28.3899,96.14085,,28.31,306.4,Clay Loam,Dense Forest,56.6,1494.4,4.9,19.7,73.2,194.8,364.6,3,30-04-2024,0.0268,0,DEMO DATA
TG-000071,Arunachal Pradesh,Changlang,28.00805,94.53061,2338.7,23.86,283.3,Clay Loam,Built-up/Urban,30.4,743.7,11.2,35.3,122.3,367.7,564.5,2,27-07-2021,0.0517,0,DEMO DATA
TG-000072,Sikkim,West Sikkim,27.34086,88.70901,1617.5,10.82,318.1,Rocky/Gravelly,Barren/Rocky,216.7,99.1,22.7,45.9,120.2,235.9,342.6,0,25-04-2018,0.0259,0,DEMO DATA
TG-000073,Manipur,Churachandpur,23.89667,94.34947,1251.3,5.42,268.6,Laterite,Built-up/Urban,209.9,127.9,9.1,28.5,82.2,125.6,286.1,1,01-06-2018,0.0132,0,DEMO DATA
TG-000074,Sikkim,East Sikkim,27.9741,88.31461,2128.7,28.64,350,Clay Loam,Built-up/Urban,176.6,195,4.9,8,42.4,50,88.2,4,05-12-2024,0.0376,0,DEMO DATA
TG-000075,Manipur,Senapati,24.68854,93.30549,786.2,23.34,55.3,Silty Clay,Dense Forest,327.2,171.2,21.5,,146.6,320,459.5,1,17-02-2018,0.0269,0,DEMO DATA
TG-000076,Mizoram,Kolasib,23.52122,92.3756,736.7,17.67,245.7,Loam,Sparse Forest,99.3,246.4,28.9,111.5,299.9,657.5,1227.9,3,25-10-2015,0.1124,0,DEMO DATA
TG-000077,Meghalaya,West Garo Hills,26.01385,91.28052,2449,41.31,162.2,Silty Clay,Dense Forest,260.1,50,21.2,70.8,125.7,206.5,291,2,09-03-2018,0.0517,0,DEMO DATA
TG-000078,Assam,Golaghat,27.54201,92.85132,987.8,23.53,359.6,Rocky/Gravelly,Sparse Forest,533.2,180.2,9.6,46.7,94.3,269.3,414.6,1,18-06-2017,0.0306,0,DEMO DATA
TG-000079,Tripura,Sepahijala,24.34977,92.05814,1120.2,1.59,197,Laterite,Agricultural Land,242,473.9,10.8,29.6,71.8,143.1,210.2,1,25-09-2025,0.0099,0,DEMO DATA
TG-000080,Assam,Karbi Anglong,26.59232,91.4327,1430.5,17.7,209.4,Rocky/Gravelly,Built-up/Urban,70.4,871.4,22.4,67.4,207.8,386.6,660.7,2,29-03-2015,0.0677,0,DEMO DATA
TG-000081,Meghalaya,South Garo Hills,25.54347,90.70082,2866.2,45.1,80.8,Laterite,Dense Forest,60.5,264.2,23.1,,204.2,497.6,766.8,1,05-07-2024,0.1769,0,DEMO DATA
TG-000082,Manipur,Imphal West,24.58647,93.318,607,15.35,72.5,Loam,Dense Forest,695.5,2886.8,13.7,64.2,210.4,280.2,362.7,1,23-03-2025,0.0135,0,DEMO DATA
TG-000083,Arunachal Pradesh,Upper Siang,26.81005,95.83273,174.9,,183.5,Rocky/Gravelly,Sparse Forest,244.5,307.6,28.1,79.3,266.9,524.6,774.5,3,17-01-2016,0.3765,1,DEMO DATA
TG-000084,Tripura,South Tripura,23.14096,91.20608,553.5,4.09,25.6,Silty Clay,Grassland,18.8,328.3,7.7,39.3,118.9,208.1,331,0,24-03-2020,0.0112,0,DEMO DATA
TG-000085,Mizoram,Aizawl,22.64514,92.38172,1258.7,36.56,187.9,Sandy Loam,Dense Forest,111.5,718.6,4.5,13.9,37.2,60.1,84,1,15-12-2021,0.0155,0,DEMO DATA
TG-000086,Assam,Cachar,25.70086,90.33181,1233.5,18.54,8,Laterite,Barren/Rocky,38.8,,13,54.5,138.6,207,408.5,3,12-08-2021,0.0623,0,DEMO DATA
TG-000087,Tripura,Khowai,23.10947,91.16207,2193.2,16.91,181.5,Silty Clay,Dense Forest,517,982,13.5,40.1,98.5,120,169.7,1,10-10-2022,0.0108,0,DEMO DATA
TG-000088,Arunachal Pradesh,Papum Pare,27.69715,92.76106,1196.2,37.96,242.9,Silty Clay,Sparse Forest,240.1,240.4,7.9,38.7,82.7,179.8,342.4,2,24-11-2017,0.0477,0,DEMO DATA
TG-000089,Nagaland,Tuensang,26.29176,95.0759,715,7.64,123,Laterite,Dense Forest,259.9,446.8,12.8,36.6,74.3,77.4,117.7,0,13-01-2025,0.0061,0,DEMO DATA
TG-000090,Manipur,Churachandpur,24.44411,93.59026,1645.1,26.64,72.8,Clay Loam,Shrubland,432.4,2099.9,9.1,38.2,116,238.3,479.2,1,28-04-2023,0.0273,0,DEMO DATA
TG-000091,Tripura,Sepahijala,23.04923,91.88748,1620.3,11.64,287.7,Rocky/Gravelly,Agricultural Land,1399.8,227.5,15.6,47.7,110.9,226.2,345.5,1,22-02-2023,0.0191,0,DEMO DATA
TG-000092,Manipur,Ukhrul,24.28901,93.90482,1495.2,48.48,203.7,Loam,Barren/Rocky,46.9,339.4,9.8,38.1,109.4,296,426,3,19-07-2019,0.1375,0,DEMO DATA
TG-000093,Meghalaya,West Khasi Hills,25.07428,91.33673,1555.5,36.78,42.7,Rocky/Gravelly,Built-up/Urban,658.1,32.4,27.3,,190.9,510.7,1001.2,2,05-06-2021,0.1985,1,DEMO DATA
TG-000094,Tripura,Dhalai,23.40355,91.5262,325.7,11.4,68.4,Loam,Dense Forest,481.9,69.9,20.6,67.3,114.9,270.3,358.5,0,17-11-2024,0.0084,0,DEMO DATA
TG-000095,Meghalaya,Ri Bhoi,25.06669,90.90664,1625.8,30.08,70.9,Clay Loam,Dense Forest,251.6,1239.7,10.5,43.3,129.7,263.7,513.8,3,17-03-2015,0.0397,0,DEMO DATA
TG-000096,Meghalaya,East Khasi Hills,25.13922,92.05456,1531.3,20.21,313,Loam,Agricultural Land,161.3,1123.6,7.8,32.9,103.1,181.3,342.1,1,01-12-2021,0.0175,0,DEMO DATA
TG-000097,Sikkim,North Sikkim,27.23975,88.26308,2540.6,20.33,219.8,Rocky/Gravelly,Sparse Forest,126.4,20.2,3.6,18.3,56.1,56.6,43.6,1,22-03-2018,0.0165,0,DEMO DATA
TG-000098,Sikkim,North Sikkim,28.19401,88.07087,1776.7,27.66,126.8,Sandy Loam,Dense Forest,1544.7,740.5,11.9,36.4,71.5,153.1,198.4,2,28-02-2018,0.0147,0,DEMO DATA
TG-000099,Nagaland,Dimapur,25.97111,95.0244,1968.2,52.33,204.4,Sandy Loam,Dense Forest,72,20.6,33,137.7,403,673,865.8,3,30-09-2024,0.9112,1,DEMO DATA
TG-000100,Meghalaya,Ri Bhoi,26.088,90.25039,2178.5,31.35,172,Sandy Loam,Grassland,468.2,418.1,28.7,105.2,254.6,411.7,489.7,1,30-09-2024,0.0982,1,DEMO DATA
TG-000101,Mizoram,Saiha,22.51759,92.39578,1536.5,21.1,274.4,Laterite,Shrubland,61.4,104.9,28.9,99.5,192.9,495.3,769.7,6,16-10-2020,0.1506,0,DEMO DATA
TG-000102,Assam,Cachar,25.35318,95.57125,2059,0.02,150.1,Clay Loam,Agricultural Land,49.5,150.1,10.2,35.7,72.4,114.1,226.4,2,28-11-2020,0.0099,0,DEMO DATA
TG-000103,Nagaland,Tuensang,26.25512,94.10616,1958.8,17.63,211.5,Rocky/Gravelly,Grassland,592.1,613.1,1.8,7.6,1.4,0,23.5,3,13-10-2023,0.0159,0,DEMO DATA
TG-000104,Meghalaya,Jaintia Hills,25.66682,90.10358,1803.5,23.74,314.3,Loam,Dense Forest,475.5,212.4,5.3,13.5,40,51.9,148.4,0,20-06-2022,0.007,0,DEMO DATA
TG-000105,Arunachal Pradesh,Lower Subansiri,27.64547,97.07603,1508.2,47.86,38.1,Clay Loam,Sparse Forest,274.9,257.9,12.6,21,70,112.4,238.4,3,05-03-2017,0.0671,1,DEMO DATA
TG-000106,Mizoram,Aizawl,24.37129,93.2779,1185.4,22.16,338.5,Loam,Agricultural Land,435.6,832,9.6,,44.7,64.1,75.3,2,22-04-2025,0.014,0,DEMO DATA
TG-000107,Tripura,Sepahijala,24.36149,92.18299,444.7,15.44,223.3,Sandy Loam,Agricultural Land,835.2,54.2,42.3,171.5,309.9,674.2,1036.6,2,25-04-2025,0.1027,0,DEMO DATA
TG-000108,Meghalaya,West Khasi Hills,25.54921,91.73122,65.2,21.42,249.4,Laterite,Dense Forest,556,22.3,48.4,196.3,514.8,887.6,1593,0,11-04-2015,0.2449,1,DEMO DATA
TG-000109,Meghalaya,Jaintia Hills,25.90945,91.43561,402,25.42,309.2,Rocky/Gravelly,Dense Forest,120.2,34.4,3.3,8.9,37.8,95.4,160.7,2,31-12-2023,0.0194,0,DEMO DATA
TG-000110,Tripura,Khowai,23.04198,91.58823,1521.9,20.76,148,Laterite,Sparse Forest,727.1,47.1,10.4,34.7,78,136.5,236.1,1,04-05-2022,0.0186,0,DEMO DATA
TG-000111,Sikkim,North Sikkim,28.08258,88.78973,2609.7,50.19,335.5,Rocky/Gravelly,Agricultural Land,10.8,535.5,24.4,76.9,232.9,473.5,820.1,6,11-02-2024,0.6443,0,DEMO DATA
TG-000112,Nagaland,Tuensang,26.63775,94.96145,896.7,50.9,151.3,Clay Loam,Grassland,417.8,714.4,18.2,44.9,132.4,293.6,443,2,14-12-2023,0.1128,0,DEMO DATA
TG-000113,Meghalaya,West Khasi Hills,25.492,90.99593,300.2,19.85,180.4,Loam,Agricultural Land,471.9,192.2,11.9,51.8,133.1,348,614.2,6,24-10-2023,0.0716,0,DEMO DATA
TG-000114,Arunachal Pradesh,Lohit,27.70125,96.65025,1110.4,33.06,139.6,Rocky/Gravelly,Grassland,367.9,1199.1,44.2,186.6,372,894.6,1454.7,0,07-12-2023,0.495,1,DEMO DATA
TG-000115,Meghalaya,Jaintia Hills,25.88819,90.86584,1109.9,23.83,266.7,Loam,Barren/Rocky,99.1,1638.6,17.2,58.7,126.1,253.7,486.6,1,27-04-2018,0.0346,0,DEMO DATA
TG-000116,Assam,Golaghat,27.00629,91.97156,476.9,0,67.2,Rocky/Gravelly,Dense Forest,170.6,704.1,4.2,15,59.6,139.1,210,0,19-06-2020,0.0051,0,DEMO DATA
TG-000117,Assam,Kamrup,27.69026,92.50517,836.7,16.8,356.8,Sandy Loam,Dense Forest,190.4,1132.7,23.1,73.2,186,348.8,485.7,1,19-05-2023,0.0198,0,DEMO DATA
TG-000118,Mizoram,Serchhip,23.30184,93.41545,1441.3,49.1,27.1,Silty Clay,Shrubland,684.6,745.3,15.7,58.6,208.4,362.4,430.3,2,19-02-2023,0.2073,0,DEMO DATA
TG-000119,Arunachal Pradesh,Tawang,29.04507,95.62233,1794,21.28,201.1,Sandy Loam,Sparse Forest,715.4,1602.2,24.2,100.5,291.1,703.2,994.7,2,04-01-2021,0.0937,0,DEMO DATA
TG-000120,Nagaland,Mokokchung,26.43092,94.90792,1365.4,19.87,133.8,Loam,Barren/Rocky,489.1,1362.4,39.3,152.8,290.2,572.3,898.7,4,03-07-2015,0.1475,0,DEMO DATA
TG-000121,Nagaland,Kohima,25.94597,94.61321,1881.4,17.28,149.3,Silty Clay,Dense Forest,585.9,529.4,6.9,10.6,0,0,0,0,16-05-2016,0.0051,0,DEMO DATA
TG-000122,Arunachal Pradesh,West Kameng,28.13909,93.50863,2110.2,7.51,8.7,Silty Clay,Dense Forest,5,717.5,51.4,222.7,600,1200,1904.7,2,09-05-2025,0.3576,0,DEMO DATA
TG-000123,Mizoram,Lunglei,22.04976,93.39972,1094.8,14.46,53.7,Laterite,Agricultural Land,536.8,835.2,14.2,61.5,195.4,317.3,526.6,3,07-10-2018,0.051,0,DEMO DATA
TG-000124,Meghalaya,West Garo Hills,25.2284,91.48941,1645.2,34.87,169.8,Rocky/Gravelly,Dense Forest,83.5,12.2,1.6,0,4.6,27.6,54.4,0,15-07-2018,0.0149,0,DEMO DATA
TG-000125,Nagaland,Dimapur,26.84409,94.5947,907.7,30.06,4.3,Sandy Loam,Dense Forest,315.9,387.4,8.4,31.4,92.6,139.2,177.3,1,15-11-2017,0.017,0,DEMO DATA
TG-000126,Meghalaya,South Garo Hills,25.90148,91.76172,1260.5,50.66,315,Clay Loam,Dense Forest,81.6,427.4,68.1,172.9,330.9,774.2,1206.2,5,30-09-2021,0.853,1,DEMO DATA
TG-000127,Nagaland,Wokha,25.64074,95.16419,2475.1,20.18,212.4,Loam,Dense Forest,15.4,262.8,11.6,59.4,141,330,492.5,2,04-12-2016,0.023,0,DEMO DATA
TG-000128,Arunachal Pradesh,Papum Pare,27.34741,96.58615,631.6,25.67,284.4,Silty Clay,Dense Forest,465.2,451.7,15,56.1,175.5,339.6,569.9,2,16-09-2015,0.0416,0,DEMO DATA
